frequency_THz_declared,omega_J_legacy,phdos_returned_in_legacy_states_per_THz
1.114999999999999991e+00,7.388068217249999866e-22,6.797468323170733967e-04
1.120000000000000107e+00,7.421198567999999841e-22,6.897536258426967661e-04
1.125000000000000000e+00,7.454328918749999815e-22,6.996578951219514005e-04
1.130000000000000115e+00,7.487459269499999789e-22,7.094330615023476845e-04
1.135000000000000009e+00,7.520589620249999763e-22,7.190939939024390505e-04
1.140000000000000124e+00,7.553719971000000677e-22,7.286418048780491166e-04
1.145000000000000018e+00,7.586850321749999711e-22,7.380838576687114971e-04
1.150000000000000133e+00,7.619980672500000626e-22,7.474143106761569570e-04
1.155000000000000027e+00,7.653111023249999659e-22,7.566201774390245768e-04
1.159999999999999920e+00,7.686241373999998693e-22,7.657130343949042480e-04
1.165000000000000036e+00,7.719371724749999607e-22,7.746914719512196278e-04
1.169999999999999929e+00,7.752502075499998641e-22,7.835690153374231907e-04
1.175000000000000044e+00,7.785632426249999556e-22,7.923253829268292166e-04
1.179999999999999938e+00,7.818762776999998589e-22,8.009628268292680363e-04
1.185000000000000053e+00,7.851893127749999504e-22,8.097221756097560362e-04
1.189999999999999947e+00,7.885023478499999478e-22,8.195992902439022199e-04
1.195000000000000062e+00,7.918153829249999452e-22,8.295089515337420588e-04
1.199999999999999956e+00,7.951284179999999426e-22,8.393856409836067964e-04
1.205000000000000071e+00,7.984414530750000341e-22,8.492465274390247542e-04
1.209999999999999964e+00,8.017544881499999374e-22,8.590927819354840208e-04
1.215000000000000080e+00,8.050675232250000289e-22,8.689238128048782685e-04
1.219999999999999973e+00,8.083805582999999322e-22,8.787600157894737011e-04
1.225000000000000089e+00,8.116935933750000237e-22,8.885613109756099063e-04
1.229999999999999982e+00,8.150066284499999271e-22,8.983482165919280801e-04
1.235000000000000098e+00,8.183196635250000185e-22,9.081196914634149381e-04
1.239999999999999991e+00,8.216326985999999219e-22,9.178769546874998228e-04
1.245000000000000107e+00,8.249457336750000133e-22,9.276381676829270574e-04
1.250000000000000000e+00,8.282587687499999167e-22,9.373656938144329974e-04
1.255000000000000115e+00,8.315718038250000082e-22,9.470776432926830647e-04
1.260000000000000009e+00,8.348848388999999115e-22,9.567755333333333211e-04
1.265000000000000124e+00,8.381978739750000030e-22,9.664577457317073900e-04
1.270000000000000018e+00,8.415109090499999063e-22,9.761448170731705943e-04
1.275000000000000133e+00,8.448239441249999978e-22,9.857977682926830076e-04
1.280000000000000027e+00,8.481369791999999012e-22,9.954357512195121868e-04
1.284999999999999920e+00,8.514500142749998045e-22,1.004948317073170536e-03
1.290000000000000036e+00,8.547630493499998960e-22,1.014120146341463118e-03
1.294999999999999929e+00,8.580760844249997994e-22,1.023353756097560713e-03
1.300000000000000044e+00,8.613891194999998908e-22,1.032615590909090504e-03
1.304999999999999938e+00,8.647021545749999823e-22,1.041924091463414595e-03
1.310000000000000053e+00,8.680151896499998856e-22,1.051279187878787847e-03
1.314999999999999947e+00,8.713282247249999771e-22,1.060680493902438955e-03
1.320000000000000062e+00,8.746412598000000685e-22,1.070148640000000194e-03
1.324999999999999956e+00,8.779542948749999719e-22,1.079643792682927032e-03
1.330000000000000071e+00,8.812673299500000633e-22,1.089186081545064771e-03
1.334999999999999964e+00,8.845803650249999667e-22,1.098775085365853894e-03
1.340000000000000080e+00,8.878934001000000582e-22,1.108411338345864899e-03
1.344999999999999973e+00,8.912064351749999615e-22,1.118112640243902481e-03
1.350000000000000089e+00,8.945194702500000530e-22,1.127842189368770875e-03
1.354999999999999982e+00,8.978325053249999564e-22,1.137617823170731721e-03
1.360000000000000098e+00,9.011455404000000478e-22,1.147440213414634494e-03
1.364999999999999991e+00,9.044585754749999512e-22,1.157310164634146529e-03
1.370000000000000107e+00,9.077716105500000426e-22,1.167246146341463942e-03
1.375000000000000000e+00,9.110846456249999460e-22,1.177160829268292718e-03
1.380000000000000115e+00,9.143976807000000374e-22,1.186648609756097610e-03
1.385000000000000009e+00,9.177107157749999408e-22,1.196232560975609696e-03
1.390000000000000124e+00,9.210237508500000323e-22,1.205947609756097792e-03
1.395000000000000018e+00,9.243367859249999356e-22,1.215813493902438746e-03
1.400000000000000133e+00,9.276498210000000271e-22,1.225790126760563457e-03
1.405000000000000027e+00,9.309628560749999305e-22,1.235897402439024286e-03
