E_over_gap,f_near_gap,f_high_energy,f_FD
1.3618677042801557,0.00015600457649900707,1.3498505382223808e-119,0.008260450774664578
1.3657587548638133,0.00011387680023456945,2.1190858754499594e-119,0.00814913227208551
1.3696498054474708,8.25061063077702e-05,3.325424146994741e-119,0.008039301746141998
1.3735408560311284,5.9332117494549755e-05,5.216523303699969e-119,0.007930939632921179
1.377431906614786,4.2349328042539534e-05,8.17995424107718e-119,0.007824026617014203
1.3813229571984436,3.0002408441711915e-05,1.2822013008497787e-118,0.007718543628594465
1.3852140077821011,2.109689950123614e-05,2.009079714538402e-118,0.007614471840523785
1.3891050583657587,1.4724280039112894e-05,3.1468333249974775e-118,0.007511792665486368
1.3929961089494163,1.0200052870666996e-05,4.927038198638333e-118,0.007410487753150574
1.3968871595330739,7.013320672517074e-06,7.711408937879616e-118,0.007310538987358327
1.4007782101167314,4.786277672161957e-06,1.2064717472402402e-117,0.007211928483342078
1.404669260700389,3.242089528015398e-06,1.8868448659419422e-117,0.007114638584969261
1.4085603112840466,2.179741717898429e-06,2.9497883040790348e-117,0.007018651862014019
1.4124513618677041,1.4545812618803454e-06,4.6097897796709325e-117,0.006923951107456252
1.416342412451362,9.63438197214363e-07,7.201235415188347e-117,0.006830519334807716
1.4202334630350195,6.333775304722133e-07,1.1245234417786094e-116,0.006738339775465165
1.424124513618677,4.1328949235592814e-07,1.7553577224188155e-116,0.006647395876090289
1.4280155642023347,2.6766956597440243e-07,2.739039982630756e-116,0.006557671296016436
1.4319066147859922,1.7206658736661485e-07,4.272349037925209e-116,0.006469149904681924
1.4357976653696498,1.0978601353247513e-07,6.661479515398049e-116,0.006381815779089758
1.4396887159533074,6.952650610887115e-08,1.0382699484382586e-115,0.006295653201293715
1.443579766536965,4.3702543626211135e-08,1.6176534483836261e-115,0.006210646655910557
1.4474708171206225,2.7265655566860273e-08,2.5193952619437504e-115,0.006126780827658271
1.45136186770428,1.6884106892806556e-08,3.9223174966022777e-115,0.006044040598920151
1.4552529182879377,1.0377510021447417e-08,6.104144399757801e-115,0.005962411047334619
1.4591439688715955,6.330837257139914e-09,9.496038545886983e-115,0.005881877443410522
1.463035019455253,3.833381629296591e-09,1.476711834765772e-114,0.005802425248167898
1.4669260700389106,2.3038589394918863e-09,2.295538910312718e-114,0.005724040110803877
1.4708171206225682,1.3743034337984372e-09,3.5670498472784055e-114,0.005646707866383689
1.4747081712062258,8.136962195367786e-10,5.540759690293397e-114,0.00557041453355652
1.4785992217898833,4.781838281964285e-10,8.603300007229547e-114,0.005495146312296122
1.482490272373541,2.7892047134419877e-10,1.3353540776980792e-113,0.005420889581665902
1.4863813229571985,1.6148002798200167e-10,2.071874393271787e-113,0.005347630897608421
1.490272373540856,9.279192003937038e-11,3.213409145942669e-113,0.005275356990759074
1.4941634241245136,5.2924215117130164e-11,4.9820059802241755e-113,0.005204054764283769
1.4980544747081712,2.9960676165354556e-11,7.721080494981796e-113,0.005133711291740449
1.5019455252918288,1.6834557858078848e-11,1.1961551992877722e-112,0.005064313814964268
1.5058365758754864,9.38868435256119e-12,1.8523907390815227e-112,0.004995849741976219
1.509727626459144,5.197095313000126e-12,2.8675651018887963e-112,0.004928306644915076
1.5136186770428015,2.8554170258269357e-12,4.437410311872161e-112,0.004861672257992423
1.517509727626459,1.5571531455079598e-12,6.864066884511618e-112,0.004795934475470613
1.5214007782101167,8.42841729673506e-13,1.0613754589223887e-111,0.004731081349663456
1.5252918287937742,4.5280754172466676e-13,1.6405602825396712e-111,0.0046671010889594725
1.5291828793774318,2.4145388254857205e-13,2.53484239062173e-111,0.004603982055867475
1.5330739299610894,1.2779317328109854e-13,3.9151224164287435e-111,0.004541712765084369
1.536964980544747,6.713268777179179e-14,6.044708289349681e-111,0.004480281881584909
1.5408560311284045,3.500365024521809e-14,9.329126132720556e-111,0.004419678218733281
1.5447470817120623,1.811530105387439e-14,1.4392697552109152e-110,0.004359890736416268
1.54863813229572,9.305306779658973e-15,2.219622150217061e-110,0.004300908539197897
1.5525291828793775,4.744262986144952e-15,3.4217755403311814e-110,0.004242720874495235
1.556420233463035,2.4008207394187847e-15,5.27302222143211e-110,0.0041853171307753125
1.5603112840466926,1.2058787240745534e-15,8.122754025734615e-110,0.00412868683577287
1.5642023346303502,6.011743618760751e-16,1.2507848699253997e-109,0.004072819654728783
1.5680933852140078,2.974748053520019e-16,1.9252961963709521e-109,0.004017705388648964
1.5719844357976653,1.4610088498411418e-16,2.9624300406718074e-109,0.003963333972583579
1.575875486381323,7.122105848345044e-17,4.556530375874321e-109,0.003909695473926336
1.5797665369649807,3.446013073283633e-17,7.005772869081179e-109,0.0038567800907337232
1.5836575875486383,1.6549250784102917e-17,1.0767464610416279e-108,0.0038045781500639785
1.5875486381322959,7.888468095107939e-18,1.6542702877467063e-108,0.003753080106335578
1.5914396887159534,3.73215720886199e-18,2.540593031101597e-108,0.0037022765397051113
1.595330739299611,1.7525890929307653e-18,3.900312025467343e-108,0.003652158154464314
1.5992217898832686,8.168704758472581e-19,5.985483227243865e-108,0.0036027157774561067
1.6031128404669261,3.779020208500093e-19,9.181945291873495e-108,0.003553940356509402
1.6070038910505837,1.7352343997911817e-19,1.408010197002349e-107,0.00350582295889257
1.6108949416342413,7.908425042322737e-20,2.1583035040596382e-107,0.00345835476978531
1.6147859922178989,3.577459915140886e-20,3.307157270947243e-107,0.003411527090768788
1.6186770428015564,1.6062475176826125e-20,5.065622206761256e-107,0.003365331338333852
