lambda,time_zeta,r_patch,current,voltage_patch,voltage_port
1.0,1.788,0.11194969738396361,0.7012117439513353,0.07850044253743337,0.29878825604866466
1.0,1.79,0.11150279299961106,0.7016521435257103,0.07823617371728066,0.29834785647428974
1.0,1.792,0.1110576726623076,0.7020921903710098,0.07797272465698615,0.2979078096289902
1.0,1.794,0.11061432925011883,0.7025318835563853,0.07771009307641215,0.2974681164436147
1.0,1.796,0.11017275566954118,0.7029712221573979,0.07744827670146576,0.29702877784260207
1.0,1.798,0.10973294485538844,0.7034102052559933,0.07718727326407337,0.2965897947440067
1.0,1.8,0.10929488977067865,0.703848831940477,0.07692708050215535,0.296151168059523
1.0,1.802,0.10885858340652156,0.7042871013054898,0.07666769615960096,0.29571289869451023
1.0,1.804,0.10842401878200648,0.704725012451983,0.07640911798624356,0.29527498754801695
1.0,1.806,0.10799118894409054,0.7051625644871946,0.07615134373783607,0.2948374355128054
1.0,1.808,0.10756008696748756,0.7055997565246239,0.0758943711760266,0.2944002434753761
1.0,1.81,0.10713070595455708,0.7060365876840081,0.07563819806833433,0.2939634123159919
1.0,1.812,0.10670303903519411,0.7064730570912978,0.07538282218812567,0.2935269429087022
1.0,1.814,0.10627707936671925,0.7069091638786328,0.0751282413145906,0.2930908361213672
1.0,1.816,0.10585282013376902,0.7073449071843184,0.0748744532327192,0.2926550928156816
1.0,1.818,0.10543025454818704,0.7077802861528014,0.07462145573327851,0.2922197138471986
1.0,1.82,0.10500937584891527,0.7082152999346462,0.07436924661278951,0.29178470006535384
1.0,1.822,0.10459017730188584,0.7086499476865111,0.07411782367350432,0.29135005231348887
1.0,1.824,0.10417265219991345,0.7090842285711251,0.07386718472338374,0.2909157714288749
1.0,1.826,0.1037567938625878,0.7095181417572637,0.07361732757607477,0.2904818582427363
1.0,1.828,0.10334259563616698,0.7099516864197263,0.0733682500508886,0.2900483135802737
1.0,1.83,0.10293005089347082,0.710384861739312,0.07311994997277863,0.28961513826068797
1.0,1.832,0.10251915303377493,0.7108176669027971,0.0728724251723187,0.28918233309720287
1.0,1.834,0.10210989548270505,0.7112501011029115,0.07262567348568169,0.28874989889708846
1.0,1.836,0.10170227169213192,0.7116821635383158,0.07237969275461806,0.2883178364616842
1.0,1.838,0.10129627514006645,0.7121138534135782,0.07213448082643477,0.28788614658642175
1.0,1.84,0.10089189933055544,0.712545169939152,0.07189003555397444,0.28745483006084804
1.0,1.842,0.10048913779357753,0.7129761123313522,0.07164635479559446,0.28702388766864784
1.0,1.844,0.10008798408493978,0.7134066798123333,0.07140343641514654,0.2865933201876667
1.0,1.846,0.09968843178617455,0.7138368716100665,0.07116127828195636,0.2861631283899335
1.0,1.848,0.09929047450443676,0.7142666869583171,0.07091987827080329,0.2857333130416829
1.0,1.85,0.09889410587240162,0.7146961250966221,0.07067923426190054,0.28530387490337794
1.0,1.852,0.0984993195481628,0.7151251852702677,0.07043934414087522,0.2848748147297323
1.0,1.854,0.09810610921513088,0.7155538667302674,0.07020020579874883,0.28444613326973256
1.0,1.856,0.09771446858193239,0.7159821687333395,0.06996181713191772,0.28401783126666047
1.0,1.858,0.09732439138230897,0.7164100905418849,0.06972417604213381,0.28358990945811513
