kBT_over_gap,u_over_4N0gap2,du_dT_normalized,inverse_absolute_sensitivity,recovered_temperature
0.23315068493150684,0.010091613340791885,0.21443521183917352,4.663413211958866,0.2331506849315068
0.23974885844748858,0.011569098601268864,0.23347657274020472,4.283084971924465,0.23974885844748856
0.24634703196347033,0.013173437814243722,0.2528756976043488,3.954512076382316,0.2463470319634703
0.25294520547945204,0.014906782949037177,0.27256998334713656,3.668782555291246,0.252945205479452
0.2595433789954338,0.016770885699687342,0.29250074133485304,3.418794753942884,0.2595433789954338
0.2661415525114155,0.01876712393192355,0.31261336720128635,3.198839540844449,0.26614155251141547
0.27273972602739727,0.020896528921428924,0.332857414118149,3.0042893971562434,0.27273972602739727
0.279337899543379,0.023159812807898007,0.35318658778919276,2.8313645947305117,0.27933789954337895
0.28593607305936075,0.025557395802424606,0.3735586791689148,2.6769556050063628,0.28593607305936075
0.2925342465753425,0.02808943278409785,0.39393544873561465,2.538486960768892,0.29253424657534244
0.29913242009132424,0.030755839006178762,0.41428247412887076,2.413811982036513,0.29913242009132424
0.3057305936073059,0.03355631470398274,0.4345689711220664,2.301130698351469,0.3057305936073059
0.31232876712328766,0.03649036845683904,0.45476759625303814,2.1989253593248277,0.3123287671232876
0.3189269406392694,0.03955733920650944,0.4748542379803503,2.1059093928553723,0.3189269406392694
0.32552511415525115,0.04275641687546973,0.494807801961691,2.0209867266349653,0.3255251141552511
0.3321232876712329,0.046086661561669,0.5146099949524583,1.943219155882085,0.3321232876712329
0.33872146118721463,0.04954702131287623,0.5342451108822448,1.8718000027152597,0.3387214611872146
0.3453196347031963,0.05313634850449118,0.5536998218690193,1.8060327283915134,0.34531963470319627
0.35191780821917806,0.056853414860627186,0.5729629762596328,1.7453134695161514,0.35191780821917806
0.3585159817351598,0.06069692517015011,0.5920254052255999,1.6891167020424327,0.35851598173515975
0.36511415525114155,0.06466552975787138,0.6108797389806496,1.6369834129196357,0.36511415525114155
0.3717123287671233,0.06875783577683794,0.6295202333080503,1.5885112933465613,0.37171232876712323
0.37831050228310503,0.07297241739115452,0.6479426067793128,1.5433465704171494,0.37831050228310503
0.3849086757990868,0.07730782492045153,0.6661438888007924,1.501177173298434,0.3849086757990867
0.3915068493150685,0.08176259301734962,0.684122278431508,1.461726991690297,0.3915068493150685
0.39810502283105026,0.0863352479483822,0.701877013765847,1.42475103242747,0.3981050228310502
0.40470319634703195,0.09102431404708351,0.7194082515614781,1.3900313178636698,0.4047031963470319
0.4113013698630137,0.09582831940555128,0.7367169567095097,1.3573733995026043,0.4113013698630137
0.41789954337899543,0.10074580086792781,0.7538048010853045,1.326603384006352,0.4178995433789954
0.4244977168949772,0.10577530838606186,0.7706740712798439,1.297565387582482,0.4244977168949772
0.4310958904109589,0.11091540879423084,0.7873275846891875,1.2701193498698118,0.43109589041095886
0.43769406392694066,0.11616468905631944,0.8037686134301459,1.2441391506100508,0.43769406392694066
0.4442922374429224,0.12152175903533789,0.8200008155510011,1.219510982227558,0.44429223744292234
0.4508904109589041,0.1269852538316835,0.8360281730146919,1.1961319394226042,0.45089041095890403
0.45748858447488583,0.1325538357331458,0.8518549359463914,1.173908793389831,0.45748858447488583
0.46408675799086757,0.13822619581636375,0.8674855726563168,1.1527569235969106,0.4640867579908675
0.4706849315068493,0.14400105523628676,0.8829247249706174,1.132599384430285,0.4706849315068493
0.47728310502283106,0.1498771662371883,0.8981771684272456,1.113366087618383,0.477283105022831
0.4838812785388128,0.15585331291593887,0.9132477769190213,1.094993084323348,0.4838812785388128
0.49047945205479454,0.16192831176557512,0.9281414913919444,1.0774219332661108,0.4904794520547945
0.4970776255707763,0.16810101202470001,0.9428632922327181,1.0605991433095046,0.4970776255707763
0.5036757990867581,0.17437029585591912,0.957418175004986,1.0444756806447635,0.503675799086758
0.5102739726027398,0.1807350783743535,0.9718111292186515,1.0290065321684603,0.5102739726027397
