t,d_energy,T_energy,u_order,u_exc,d_thermal,T_thermal,u_thermal,entropy,u_naive
10.088000000000001,0.8778365339478967,0.7573027904523123,0.013156436358009154,0.1983651261419909,0.8778365339475463,0.7573027904533277,0.21152156250067314,0.5238726930439906,0.012192000264305442
10.092,0.8778365339937011,0.7573027904875269,0.01315643634878515,0.19836512615121488,0.8778365339933507,0.7573027904885423,0.21152156250067308,0.5238726930439906,0.012192000262232999
10.096,0.8778365340391495,0.757302790522468,0.013156436339632817,0.1983651261603672,0.8778365340387991,0.7573027905234834,0.2115215625006731,0.5238726930439906,0.012192000260176803
10.1,0.8778365340842448,0.7573027905571376,0.013156436330551606,0.19836512616944849,0.8778365340838944,0.7573027905581529,0.21152156250067305,0.5238726930439908,0.012192000258136729
10.104000000000001,0.8778365341289897,0.7573027905915376,0.013156436321540968,0.19836512617845906,0.8778365341286393,0.757302790592553,0.21152156250067308,0.5238726930439906,0.012192000256112652
10.108,0.8778365341733869,0.7573027906256705,0.013156436312600318,0.19836512618739974,0.8778365341730365,0.7573027906266859,0.2115215625006731,0.5238726930439908,0.012192000254104449
10.112,0.8778365342174392,0.7573027906595382,0.013156436303729134,0.1983651261962709,0.8778365342170888,0.7573027906605536,0.21152156250067308,0.5238726930439906,0.012192000252111989
10.116,0.8778365342611493,0.7573027906931428,0.013156436294926872,0.19836512620507313,0.8778365342607989,0.7573027906941582,0.21152156250067305,0.5238726930439906,0.012192000250135154
10.120000000000001,0.8778365343045196,0.7573027907264862,0.013156436286193028,0.198365126213807,0.8778365343041692,0.7573027907275016,0.21152156250067308,0.5238726930439906,0.012192000248173818
10.124,0.8778365343475529,0.7573027907595705,0.013156436277527049,0.198365126222473,0.8778365343472025,0.7573027907605859,0.2115215625006731,0.5238726930439906,0.01219200024622786
10.128,0.8778365343902519,0.7573027907923978,0.013156436268928408,0.19836512623107164,0.8778365343899015,0.7573027907934132,0.21152156250067317,0.5238726930439906,0.012192000244297164
10.132,0.8778365344326191,0.7573027908249699,0.013156436260396559,0.19836512623960345,0.8778365344322687,0.7573027908259854,0.21152156250067314,0.5238726930439906,0.012192000242381606
10.136000000000001,0.8778365344746571,0.7573027908572891,0.013156436251931006,0.19836512624806907,0.8778365344743068,0.7573027908583045,0.21152156250067317,0.5238726930439908,0.012192000240481072
10.14,0.8778365345163686,0.757302790889357,0.013156436243531239,0.1983651262564688,0.8778365345160182,0.7573027908903726,0.21152156250067314,0.5238726930439906,0.012192000238595435
10.144,0.8778365345577559,0.7573027909211759,0.013156436235196722,0.19836512626480332,0.8778365345574055,0.7573027909221914,0.2115215625006732,0.5238726930439906,0.012192000236724584
10.148,0.8778365345988216,0.7573027909527474,0.013156436226926974,0.19836512627307304,0.8778365345984712,0.7573027909537631,0.2115215625006732,0.5238726930439906,0.012192000234868404
10.152000000000001,0.8778365346395682,0.7573027909840738,0.013156436218721482,0.1983651262812786,0.8778365346392178,0.7573027909850893,0.2115215625006732,0.5238726930439908,0.012192000233026776
10.156,0.8778365346799983,0.7573027910151566,0.01315643621057974,0.19836512628942027,0.877836534679648,0.7573027910161723,0.2115215625006732,0.5238726930439906,0.012192000231199592
10.16,0.8778365347201142,0.7573027910459981,0.013156436202501263,0.19836512629749878,0.8778365347197639,0.7573027910470136,0.2115215625006732,0.5238726930439906,0.012192000229386733
10.164,0.8778365347599185,0.7573027910765998,0.013156436194485553,0.19836512630551448,0.8778365347595681,0.7573027910776153,0.21152156250067317,0.5238726930439906,0.01219200022758809
10.168000000000001,0.8778365347994135,0.7573027911069637,0.013156436186532115,0.1983651263134679,0.8778365347990631,0.7573027911079793,0.21152156250067314,0.5238726930439906,0.01219200022580355
10.172,0.8778365348386016,0.7573027911370919,0.013156436178640476,0.19836512632135955,0.8778365348382512,0.7573027911381073,0.21152156250067308,0.5238726930439906,0.012192000224033005
10.176,0.8778365348774851,0.7573027911669857,0.01315643617081018,0.1983651263291898,0.8778365348771348,0.7573027911680013,0.2115215625006731,0.5238726930439905,0.012192000222276338
10.18,0.8778365349160666,0.7573027911966475,0.013156436163040703,0.19836512633695932,0.8778365349157162,0.757302791197663,0.2115215625006731,0.5238726930439906,0.012192000220533447
10.184000000000001,0.8778365349543483,0.7573027912260787,0.013156436155331588,0.19836512634466844,0.8778365349539979,0.7573027912270942,0.21152156250067314,0.5238726930439906,0.012192000218804224
10.188,0.8778365349923326,0.7573027912552812,0.013156436147682388,0.19836512635231762,0.8778365349919822,0.7573027912562967,0.21152156250067314,0.5238726930439906,0.012192000217088559
10.192,0.8778365350300217,0.7573027912842569,0.013156436140092619,0.19836512635990747,0.8778365350296713,0.7573027912852723,0.21152156250067314,0.5238726930439908,0.012192000215386344
10.196,0.877836535067418,0.7573027913130075,0.013156436132561811,0.19836512636743825,0.8778365350670676,0.7573027913140228,0.2115215625006731,0.5238726930439906,0.012192000213697481
10.200000000000001,0.8778365351045236,0.7573027913415344,0.01315643612508953,0.19836512637491052,0.8778365351041733,0.7573027913425499,0.2115215625006731,0.5238726930439908,0.012192000212021856
10.204,0.8778365351413411,0.7573027913698399,0.013156436117675306,0.1983651263823247,0.8778365351409907,0.7573027913708553,0.2115215625006731,0.5238726930439906,0.012192000210359372
10.208,0.8778365351778724,0.7573027913979254,0.013156436110318678,0.19836512638968137,0.877836535177522,0.7573027913989409,0.2115215625006731,0.5238726930439908,0.012192000208709922
10.212,0.8778365352141199,0.7573027914257927,0.013156436103019229,0.19836512639698078,0.8778365352137695,0.7573027914268081,0.21152156250067305,0.5238726930439906,0.012192000207073408
10.216000000000001,0.8778365352500856,0.7573027914534435,0.0131564360957765,0.19836512640422352,0.8778365352497353,0.7573027914544589,0.2115215625006731,0.5238726930439906,0.012192000205449721
10.22,0.877836535285772,0.7573027914808793,0.013156436088590042,0.19836512641140996,0.8778365352854216,0.7573027914818948,0.21152156250067314,0.5238726930439906,0.012192000203838768
10.224,0.8778365353211811,0.7573027915081021,0.013156436081459414,0.19836512641854065,0.8778365353208307,0.7573027915091176,0.2115215625006732,0.5238726930439908,0.012192000202240446
10.228,0.8778365353563151,0.7573027915351134,0.01315643607438418,0.19836512642561588,0.8778365353559647,0.7573027915361289,0.21152156250067314,0.5238726930439908,0.01219200020065466
10.232000000000001,0.8778365353911761,0.7573027915619147,0.013156436067363933,0.19836512643263612,0.8778365353908257,0.7573027915629302,0.2115215625006732,0.5238726930439908,0.012192000199081308
10.236,0.8778365354257662,0.7573027915885078,0.013156436060398227,0.19836512643960177,0.8778365354254158,0.7573027915895233,0.21152156250067314,0.5238726930439906,0.012192000197520292
10.24,0.8778365354600876,0.7573027916148942,0.013156436053486657,0.19836512644651336,0.8778365354597372,0.7573027916159097,0.2115215625006731,0.5238726930439906,0.012192000195971517
10.244,0.8778365354941422,0.7573027916410756,0.013156436046628799,0.1983651264533712,0.8778365354937918,0.7573027916420912,0.2115215625006732,0.5238726930439906,0.012192000194434883
