gap_Dref,T_for_u_0.02,T_for_u_0.06,T_for_u_0.15,T_for_u_0.3
0.9249999999999999,0.2589489294004854,0.3458319552474958,0.4668074115352514,0.6117754445375625
0.9333333333333333,0.26018386700925067,0.34710892270696064,0.4679701831547348,0.6126807412834329
0.9416666666666667,0.26141737653913155,0.3483863080338306,0.469137366653329,0.6135948321367665
0.95,0.2626494570784366,0.34966405683003027,0.4703088208382498,0.6145175294712639
0.9583333333333334,0.26388010819110286,0.3509421169596697,0.47148440874432,0.6154486491962822
0.9666666666666667,0.265109329887549,0.35222043845100653,0.4726639975030099,0.6163880107238268
0.975,0.26633712259723724,0.353498973403071,0.47384745821522134,0.6173354369325886
0.9833333333333333,0.2675634871428453,0.3547776758967123,0.47503466582783155,0.6182907541300035
0.9916666666666667,0.26878842471594605,0.35605650190983834,0.47622549901385697,0.6192537920123115
1.0,0.27001193685410363,0.3573354092366353,0.4774198400562041,0.6202243836228777
1.0083333333333333,0.2712340254192953,0.35861435741056163,0.4786175747349292,0.6212023653089609
1.0166666666666666,0.2724546925775797,0.3598933076309256,0.4798185922179306,0.622187576677143
1.025,0.27367394077993434,0.36117222269286364,0.48102278495499773,0.6231798605475962
1.0333333333333332,0.2748917727441906,0.36245106692054874,0.48223004857513635,0.6241790629073531
1.0416666666666667,0.276108191438001,0.3637298061034641,0.4834402817870927,0.6251850328627389
1.05,0.2773232000627757,0.3650084074355903,0.48465338628299287,0.6261976225911061
1.0583333333333333,0.2785368020385299,0.36628683945735935,0.4858692666450194,0.6272166872920107
1.0666666666666667,0.2797490009895891,0.3675650720002374,0.4870878302550421,0.6282420851379492
1.075,0.28095980073110016,0.36884307613380735,0.48830898720712307,0.6292736772247735
1.0833333333333333,0.28216920525630107,0.37012082411522534,0.4895326502228162,0.630311327521888
1.0916666666666666,0.283377218724505,0.37139828934093727,0.49075873456918073,0.6313549028223279
1.1,0.28458384544975673,0.3726754463005422,0.49198715797943077,0.6324042726928047
1.1083333333333334,0.2857890898901227,0.3739522705326993,0.4932178405761431,0.6334593094238048
1.1166666666666667,0.28699295663757746,0.3752287385829873,0.49445070479694725,0.6345198879798124
1.125,0.28819545040845296,0.3765048279635796,0.49568567532262187,0.6355858859496778
1.1333333333333333,0.2893965760344301,0.37778051711467453,0.4969226790075248,0.6366571834974939
1.1416666666666666,0.290596338453935,0.3790557853678352,0.4981616448122838,0.6377336633132794
1.15,0.2917947427043071,0.38033061291041653,0.49940250373867806,0.6388152105645327
1.1583333333333332,0.2929917939139124,0.38160498075202,0.5006451887666402,0.639901712847969
1.1666666666666667,0.2941874972951438,0.3828788706921449,0.5018896347933135,0.6409930601417132
1.175,0.2953818581375834,0.38415226528927,0.5031357785740952,0.6420891447580187
1.1833333333333333,0.296574881801589,0.3854251478312507,0.504383558665606,0.6431898612965017
1.1916666666666667,0.29776657371223375,0.3866975023069694,0.5056329153705192,0.6442951065979294
1.2,0.2989569393535801,0.38796931337918106,0.5068837906841924,0.6454047796985887
