Q,delta_usadel_kBTc,delta_allmaras_kBTc,I_usadel_uA,I_allmaras_usadel_uA,I_vodolazov_uA
4.670440251572326451e-01,1.582933682522521979e+00,1.520042759142112399e+00,3.441444167389149555e+01,3.296191506400563043e+01,3.510034298377058803e+01
4.729559748427672461e-01,1.578029624635228112e+00,1.513317739371255577e+00,3.468019154062808695e+01,3.316665803241481569e+01,3.538739125113567496e+01
4.788679245283018471e-01,1.573046214931698161e+00,1.506477538706562536e+00,3.493910783265463493e+01,3.336264778203887005e+01,3.566778080163234677e+01
4.847798742138364481e-01,1.567982525125856341e+00,1.499520580924227353e+00,3.519107182566475700e+01,3.354971754041478249e+01,3.594137283173096620e+01
4.906918238993709935e-01,1.562837591088041433e+00,1.492445233252991166e+00,3.543596272353019572e+01,3.372769702531666525e+01,3.620802532064440982e+01
4.966037735849055945e-01,1.557610410888466301e+00,1.485249803756968356e+00,3.567365754213746953e+01,3.389641225336973207e+01,3.646759288311636027e+01
5.025157232704402510e-01,1.552299942683873724e+00,1.477932538554092234e+00,3.590403098377763058e+01,3.405568533329221736e+01,3.671992661349283793e+01
5.084276729559747965e-01,1.546905102431236134e+00,1.470491618857471927e+00,3.612695530107968267e+01,3.420533424211964757e+01,3.696487392041478870e+01
5.143396226415093420e-01,1.541424761410414845e+00,1.462925157825747169e+00,3.634230014935479858e+01,3.434517258256537531e+01,3.720227835140833150e+01
5.202515723270439985e-01,1.535857743535414155e+00,1.455231197207233818e+00,3.654993242607618953e+01,3.447500931944903613e+01,3.743197940658166800e+01
5.261635220125785439e-01,1.530202822431387499e+00,1.447407703761178110e+00,3.674971609606085110e+01,3.459464849287451926e+01,3.765381234056278714e+01
5.320754716981132004e-01,1.524458718251659128e+00,1.439452565437814746e+00,3.694151200073861929e+01,3.470388890556101558e+01,3.786760795172839522e+01
5.379874213836477459e-01,1.518624094205748953e+00,1.431363587297126871e+00,3.712517764968807654e+01,3.480252378142275660e+01,3.807319235768195398e+01
5.438993710691822914e-01,1.512697552765720932e+00,1.423138487144167019e+00,3.730056699238756579e+01,3.489034039215111704e+01,3.827038675583430916e+01
5.498113207547169479e-01,1.506677631513872573e+00,1.414774890856552503e+00,3.746753016786427537e+01,3.496711964817712470e+01,3.845900716782508511e+01
5.557232704402514933e-01,1.500562798590027391e+00,1.406270327377224350e+00,3.762591322962611429e+01,3.503263564998276536e+01,3.863886416639252275e+01
5.616352201257861498e-01,1.494351447691135926e+00,1.397622223342708025e+00,3.777555784292014351e+01,3.508665519528279475e+01,3.880976258315411087e+01
5.675471698113206953e-01,1.488041892569633262e+00,1.388827897313946735e+00,3.791630095097590925e+01,3.512893723712091543e+01,3.897150119559619696e+01
5.734591194968552408e-01,1.481632360969787454e+00,1.379884553573173411e+00,3.804797440645265993e+01,3.515923228741560536e+01,3.912387239138632111e+01
5.793710691823898973e-01,1.475120987933089989e+00,1.370789275446261613e+00,3.817040456381222668e+01,3.517728175996055029e+01,3.926666180791391980e+01
5.852830188679244428e-01,1.468505808394229284e+00,1.361539018105405674e+00,3.828341182777077023e+01,3.518281724634196905e+01,3.939964794472878395e+01
5.911949685534590992e-01,1.461784748978523174e+00,1.352130600801812355e+00,3.838681015234219274e+01,3.517555971769778722e+01,3.952260174628057854e+01
5.971069182389936447e-01,1.454955618899165248e+00,1.342560698472215597e+00,3.848040648425089216e+01,3.515521864473353020e+01,3.963528615205822092e+01
6.030188679245281902e-01,1.448016099838467019e+00,1.332825832656326703e+00,3.856400014366075624e+01,3.512149102796208666e+01,3.973745561088301059e+01
6.089308176100628467e-01,1.440963734680918540e+00,1.322922361654738310e+00,3.863738213422130485e+01,3.507406032979331911e+01,3.982885555571482428e+01
