delta,gamma,T_over_Delta0,cutoff,free_error,amplitude_error,gamma_error
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,2.560000000000000000e+02,2.438304674736713196e-04,6.971880642034737618e-04,1.217921511644237675e-03
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,5.120000000000000000e+02,1.218841855835095522e-04,3.483730149635815010e-04,6.091131952417061513e-04
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,1.024000000000000000e+03,6.093430559589441131e-05,1.741311481608769085e-04,3.045945916749781546e-04
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,2.048000000000000000e+03,3.046520285404641371e-05,8.705172112065048817e-05,1.523067798766541969e-04
6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000000e-01,2.560000000000000000e+02,1.218840692898126576e-04,3.483726823477750756e-04,6.091126145798542169e-04
6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000000e-01,5.120000000000000000e+02,6.093429106723835531e-05,1.741311066572048816e-04,3.045945190126575497e-04
6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000000e-01,1.024000000000000000e+03,3.046520104088568104e-05,8.705171596923300115e-05,1.523067707400738158e-04
6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000000e-01,2.048000000000000000e+03,1.523211332177254462e-05,4.352239505389654539e-05,7.615575796693363486e-05
3.499999999999999778e-01,6.500000000000000222e-01,1.000000000000000056e-01,2.560000000000000000e+02,4.941013972693539605e-04,2.823846412992159216e-03,7.585139332401125145e-04
3.499999999999999778e-01,6.500000000000000222e-01,1.000000000000000056e-01,5.120000000000000000e+02,2.472821451070536872e-04,1.413143846066500231e-03,3.800225212672592168e-04
3.499999999999999778e-01,6.500000000000000222e-01,1.000000000000000056e-01,1.024000000000000000e+03,1.236989944566899494e-04,7.068772208702611692e-04,1.902031287374650326e-04
3.499999999999999778e-01,6.500000000000000222e-01,1.000000000000000056e-01,2.048000000000000000e+03,6.186398523977485603e-05,3.535149521376457216e-04,9.514959132508882256e-05
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,2.560000000000000000e+02,1.978625673567935284e-04,1.130709243318706037e-03,3.041404277090153929e-04
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,5.120000000000000000e+02,9.896844050871766996e-05,5.655504816987066974e-04,1.521931923502417572e-04
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.024000000000000000e+03,4.949350344396474810e-05,2.828241581300794394e-04,7.612735643841572752e-05
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,2.048000000000000000e+03,2.474907176699958633e-05,1.414243024193684306e-04,3.807137024008921955e-05
3.499999999999999778e-01,6.500000000000000222e-01,5.000000000000000000e-01,2.560000000000000000e+02,9.896834618883243451e-05,5.655499426820975728e-04,1.521930474327887195e-04
3.499999999999999778e-01,6.500000000000000222e-01,5.000000000000000000e-01,5.120000000000000000e+02,4.949349164062866180e-05,2.828240906814771805e-04,7.612733829291673526e-05
3.499999999999999778e-01,6.500000000000000222e-01,5.000000000000000000e-01,1.024000000000000000e+03,2.474907028449102597e-05,1.414242939499210650e-04,3.807136796177279514e-05
3.499999999999999778e-01,6.500000000000000222e-01,5.000000000000000000e-01,2.048000000000000000e+03,1.237511561102966340e-05,7.071520522450303048e-05,1.903760808122378911e-05
