nodes,time,left_energy,right_energy,left_native_R2_energy,right_native_R2_energy,energy_residual,quasiparticle_count
513,1.1,0.51676607755063,0.039565295002539934,0.5167701373413454,0.03956932399415248,-1.1102230246251565e-16,0.7702969456937981
513,1.1500000000000001,0.5152790341431365,0.04105233841003333,0.5152822883161099,0.04105652926801151,-2.220446049250313e-16,0.7702967346507181
513,1.2000000000000002,0.5138127059919992,0.04251866656117068,0.5138151526440178,0.04252301687342534,-1.1102230246251565e-16,0.7702965250551801
513,1.25,0.5123667877032516,0.04396458484991842,0.5123684249352102,0.043969092230443055,0.0,0.7702963168950699
513,1.3,0.5109409785614022,0.04539039399176775,0.5109418044793215,0.045395056080514175,0.0,0.770296110158385
513,1.35,0.5095349824557212,0.04679639009744864,0.5095349951717287,0.04680120456019883,-2.220446049250313e-16,0.7702959048332334
513,1.4000000000000001,0.508148507807713,0.048182864745456966,0.5081477054409905,0.04818782927369118,0.0,0.7702957009078331
513,1.4500000000000002,0.5067812674997557,0.049550105053414145,0.5067796481774521,0.04955521736417547,-1.1102230246251565e-16,0.7702954983705108
513,1.5,0.5054329788048914,0.05089839374827858,0.5054305406630019,0.0509036515840341,-1.1102230246251565e-16,0.7702952972097009
513,1.55,0.5041033633177423,0.052228009235427614,0.5041001045019565,0.052233410363926314,-1.1102230246251565e-16,0.770295097413944
513,1.6,0.5027921468865415,0.05353922566662837,0.502788065553059,0.05354476788075607,-1.1102230246251565e-16,0.7702948989718869
513,1.6500000000000001,0.501499059546254,0.054832313006915996,0.5014941538625691,0.05483799412454718,0.0,0.7702947018722799
513,1.7000000000000002,0.5002238354527734,0.05610753710039656,0.500218103598432,0.05611335496424374,-1.1102230246251565e-16,0.7702945061039778
513,1.75,0.49896621281817666,0.05736515973499322,0.49895965298550193,0.05737111221245331,-1.1102230246251565e-16,0.7702943116559375
513,1.8,0.4977259338470182,0.0586054387061517,0.49771854424180856,0.05861152368915021,-1.1102230246251565e-16,0.7702941185172172
