time,amplitude,gamma,temperature,total_energy,field_work,heat_work,energy_residual,incorrect_residual_without_field_work
0.24375000000000002,0.72975,0.1112078491015755,0.12894807483229273,-0.30097260242998125,0.0090099036924555,0.009750000000000007,-3.253300406846904e-14,0.009009903692422968
0.25,0.73,0.1114805029709527,0.12960574193554883,-0.30050271349467167,0.0092297926277658,0.010000000000000007,-3.325117958752344e-14,0.009229792627732549
0.25625000000000003,0.73025,0.11175205032555868,0.13025306138563394,-0.3000337643655175,0.009448741756920969,0.010250000000000007,-3.4236502521878265e-14,0.009448741756886732
0.2625,0.7304999999999999,0.11202246499309423,0.1308904809814732,-0.29956578223177316,0.009666723890666142,0.010500000000000008,-3.5083047578154947e-14,0.009666723890631059
0.26875,0.73075,0.11229172091043087,0.1315184198451048,-0.2990987941761375,0.00988371194630277,0.010750000000000008,-3.604755383079805e-14,0.009883711946266723
0.275,0.731,0.11255979212612285,0.13213727089620275,-0.2986328271721532,0.010099678950287893,0.011000000000000008,-3.690103778097864e-14,0.010099678950250992
0.28125,0.73125,0.11282665280290846,0.13274740306155158,-0.2981679080816387,0.010314598040803263,0.011250000000000008,-3.772329670859165e-14,0.01031459804076554
0.28750000000000003,0.7314999999999999,0.11309227722020027,0.13334916325309842,-0.2977040636521471,0.010528442470295777,0.011500000000000008,-3.8637495980431424e-14,0.01052844247025714
0.29375,0.73175,0.11335663977656404,0.13394287814330755,-0.29724132051445334,0.010741185607990427,0.011750000000000009,-3.9555164699223155e-14,0.010741185607950872
0.30000000000000004,0.732,0.11361971499218641,0.1345288557624433,-0.2967797051800677,0.010952800942376908,0.012000000000000009,-4.037915835031214e-14,0.010952800942336529
0.30625,0.73225,0.11388147751133051,0.13510738693896668,-0.2963192440387745,0.01116326208367083,0.01225000000000001,-4.1135497785838027e-14,0.011163262083629695
0.3125,0.7324999999999999,0.11414190210477994,0.13567874660133064,-0.2958599633561958,0.011372542766250422,0.01250000000000001,-4.200459424730241e-14,0.011372542766208417
0.31875000000000003,0.73275,0.11440096367227034,0.1362431949570068,-0.2954018892713778,0.011580616851069453,0.01275000000000001,-4.301940748074884e-14,0.011580616851026434
0.325,0.733,0.11465863724490866,0.1368009785624928,-0.2949450477944009,0.011787458328047092,0.01300000000000001,-4.3770542745846797e-14,0.011787458328003321
0.33125000000000004,0.73325,0.11491489798757963,0.13735233129627683,-0.29448946480401356,0.011993041318435269,0.01325000000000001,-4.461014890821957e-14,0.011993041318390659
0.3375,0.7334999999999999,0.11516972120133954,0.13789747524521845,-0.29403516604528557,0.012197340077164087,0.01350000000000001,-4.5439346729736485e-14,0.012197340077118647
0.34375,0.73375,0.11542308232579665,0.13843662151350594,-0.2935821771272848,0.012400328995165752,0.01375000000000001,-4.6330994596388564e-14,0.012400328995119421
0.35000000000000003,0.734,0.11567495694147847,0.13896997096223346,-0.2931305235207739,0.012601982601677438,0.01400000000000001,-4.7123763224909965e-14,0.012601982601630314
0.35625,0.73425,0.11592532077218529,0.13949771488667598,-0.29268023055592873,0.012802275566523465,0.014250000000000011,-4.798418606899446e-14,0.012802275566475481
0.36250000000000004,0.7344999999999999,0.11617414968733002,0.1400200356375079,-0.2922313234200759,0.013001182702377108,0.014500000000000011,-4.879950610270356e-14,0.013001182702328308
0.36875,0.73475,0.1164214197042639,0.14053710719148807,-0.29178382715545154,0.01319867896700234,0.014750000000000011,-4.9661663670264033e-14,0.013198678966952678
0.375,0.735,0.11666710699058808,0.1410490956765054,-0.2913377666569789,0.013394739465475765,0.015000000000000012,-5.0464840639641295e-14,0.0133947394654253
