comparison,family,cell,time,absolute,reference_norm,relative_percent,original_norm_score,comparison_defined,roundoff_limited,undefined_checkpoints,final_relative_percent,initial_relative_percent
one_time_320_vs_1280,electron_to_phonon,all,0.0125,4.653685007878841e-10,0.0004683434473241688,9.936479381674245e-05,9.936479381674245e-07,True,False,0,1.3607983139652854e-06,
one_time_320_vs_1280,electron_to_phonon,0,0.0125,4.653685007878841e-10,0.0004683434473241688,9.936479381674245e-05,9.936479381674245e-07,True,False,0,1.3607983139652854e-06,
one_time_320_vs_1280,condensate_heat,all,0.00625,1.4880077443650552e-10,0.0005947220085993027,2.5020223278261237e-05,2.502022327826124e-07,True,False,0,1.2484172673917253e-05,
one_time_320_vs_1280,condensate_heat,0,0.00625,1.4880077443650552e-10,0.0005947220085993027,2.5020223278261237e-05,2.502022327826124e-07,True,False,0,1.2484172673917253e-05,
one_time_320_vs_1280,transport,all,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_320_vs_1280,electronic_population,all,0.5875,1.420853060442506e-08,0.49586675018273085,2.865392890164364e-06,2.8653928901643643e-08,True,False,0,1.5164734860998203e-06,0.0
one_time_320_vs_1280,electronic_population,0,0.5875,1.420853060442506e-08,0.49586675018273085,2.865392890164364e-06,2.8653928901643643e-08,True,False,0,1.5164734860998203e-06,0.0
one_time_320_vs_1280,phonon_population,all,0.28750000000000003,8.589391543128913e-07,0.054710061671003715,0.0015699838897606808,1.5699838897606807e-05,True,False,0,0.001003053777415611,0.0
one_time_320_vs_1280,phonon_population,0,0.28750000000000003,8.589391543128913e-07,0.054710061671003715,0.0015699838897606808,1.5699838897606807e-05,True,False,0,0.001003053777415611,0.0
one_time_640_vs_1280,amplitudes,all,2.0,8.210918611695206e-10,0.7593466990655852,1.0813135319873201e-07,1.0813135319873201e-09,True,False,0,1.0813135319873201e-07,0.0
one_time_640_vs_1280,amplitudes,0,2.0,8.210918611695206e-10,0.7593466990655852,1.0813135319873201e-07,1.0813135319873201e-09,True,False,0,1.0813135319873201e-07,0.0
one_time_640_vs_1280,excitation_energy,all,0.696875,3.333986309250747e-09,0.5127317667613083,6.502398574424229e-07,6.502398574424229e-09,True,False,0,4.7596068796744025e-07,0.0
one_time_640_vs_1280,excitation_energy,0,0.696875,3.333986309250747e-09,0.5127317667613083,6.502398574424229e-07,6.502398574424229e-09,True,False,0,4.7596068796744025e-07,0.0
one_time_640_vs_1280,electron_energy,all,0.696875,3.3083174533210524e-09,0.08726058341318482,3.791307969665918e-06,3.791307969665918e-08,True,False,0,3.188368062843149e-06,0.0
one_time_640_vs_1280,electron_energy,0,0.696875,3.3083174533210524e-09,0.08726058341318482,3.791307969665918e-06,3.791307969665918e-08,True,False,0,3.188368062843149e-06,0.0
one_time_640_vs_1280,phonon_energy,all,0.9281250000000001,2.6124319374432048e-09,0.13411916471662855,1.9478438767217484e-06,1.9478438767217484e-08,True,False,0,1.6387645653374117e-06,0.0
one_time_640_vs_1280,phonon_energy,0,0.9281250000000001,2.6124319374432048e-09,0.13411916471662855,1.9478438767217484e-06,1.9478438767217484e-08,True,False,0,1.6387645653374117e-06,0.0
one_time_640_vs_1280,escape,all,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_640_vs_1280,escape,0,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_640_vs_1280,input,all,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_640_vs_1280,input,0,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_640_vs_1280,electron_to_phonon,all,0.19687500000000002,1.4825009032881642e-09,0.0063735394652973095,2.326024513318063e-05,2.326024513318063e-07,True,False,0,1.1143352101389957e-05,
one_time_640_vs_1280,electron_to_phonon,0,0.19687500000000002,1.4825009032881642e-09,0.0063735394652973095,2.326024513318063e-05,2.326024513318063e-07,True,False,0,1.1143352101389957e-05,
one_time_640_vs_1280,condensate_heat,all,0.003125,8.298749166156527e-12,0.00029903605328226253,2.775166765033269e-06,2.775166765033269e-08,True,False,0,1.0636479633601411e-06,
one_time_640_vs_1280,condensate_heat,0,0.003125,8.298749166156527e-12,0.00029903605328226253,2.775166765033269e-06,2.775166765033269e-08,True,False,0,1.0636479633601411e-06,
one_time_640_vs_1280,transport,all,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_640_vs_1280,electronic_population,all,0.9281250000000001,2.7084016885308848e-09,0.5055649673009732,5.357178332569308e-07,5.357178332569309e-09,True,False,0,5.062048936227977e-07,0.0
one_time_640_vs_1280,electronic_population,0,0.9281250000000001,2.7084016885308848e-09,0.5055649673009732,5.357178332569308e-07,5.357178332569309e-09,True,False,0,5.062048936227977e-07,0.0
one_time_640_vs_1280,phonon_population,all,0.34375,2.059241674337774e-07,0.05465161495169273,0.000376794295311852,3.7679429531185205e-06,True,False,0,0.00025345165574541025,0.0
one_time_640_vs_1280,phonon_population,0,0.34375,2.059241674337774e-07,0.05465161495169273,0.000376794295311852,3.7679429531185205e-06,True,False,0,0.00025345165574541025,0.0
two_time_160_vs_1280,amplitudes,all,0.47500000000000003,9.359584884904848e-09,0.9605518414801317,9.74396641672405e-07,9.74396641672405e-09,True,False,0,4.5067560267902686e-07,0.0
two_time_160_vs_1280,amplitudes,0,0.4375,9.327436933936895e-09,0.6315108083760772,1.477003530299393e-06,1.477003530299393e-08,True,False,0,5.874217370065708e-07,0.0
two_time_160_vs_1280,amplitudes,1,0.35000000000000003,4.053252511404537e-09,0.9578734090943196,4.231511672546516e-07,4.231511672546516e-09,True,False,0,1.055743425143202e-07,0.0
two_time_160_vs_1280,excitation_energy,all,1.0250000000000001,4.075753023968787e-08,0.475378089936564,8.573708191962883e-06,8.573708191962883e-08,True,False,0,6.152560290328463e-06,0.0
two_time_160_vs_1280,excitation_energy,0,1.0250000000000001,4.075753023968787e-08,0.475378089936564,8.573708191962883e-06,8.573708191962883e-08,True,False,0,6.152560290328463e-06,0.0
two_time_160_vs_1280,excitation_energy,1,0.037500000000000006,6.233308385509423e-10,0.0016185342933463976,3.8512056316222735e-05,3.851205631622273e-07,True,False,0,1.0842121212631306e-05,0.0
two_time_160_vs_1280,electron_energy,all,1.1125,3.872932974324783e-08,0.46543697083779234,8.321068623649419e-06,8.321068623649418e-08,True,False,0,7.215683105724328e-06,0.0
two_time_160_vs_1280,electron_energy,0,1.975,3.247258939520492e-08,0.04023143570887261,8.071446823371367e-05,8.071446823371367e-07,True,False,0,7.960376765138898e-05,0.0
two_time_160_vs_1280,electron_energy,1,2.0,6.6497108930363424e-09,0.4376681697420933,1.519349898566955e-06,1.519349898566955e-08,True,False,0,1.519349898566955e-06,0.0
two_time_160_vs_1280,phonon_energy,all,1.1125,2.6416514531391044e-08,0.11951605753894755,2.2102899874171726e-05,2.2102899874171724e-07,True,False,0,1.7854182843311386e-05,0.0
two_time_160_vs_1280,phonon_energy,0,1.1125,2.6416514531391044e-08,0.11951605753894755,2.2102899874171726e-05,2.2102899874171724e-07,True,False,0,1.7854182843311386e-05,0.0
two_time_160_vs_1280,phonon_energy,1,2.0,1.9327860275794584e-10,0.0025863857797704766,7.472922418213185e-06,7.472922418213186e-08,True,False,0,7.472922418213185e-06,0.0
two_time_160_vs_1280,escape,all,2.0,2.380303842919318e-09,0.016347984951611598,1.4560227758740783e-05,1.4560227758740783e-07,True,False,0,1.4560227758740783e-05,
two_time_160_vs_1280,escape,0,2.0,2.380303842919318e-09,0.016347984951611598,1.4560227758740783e-05,1.4560227758740783e-07,True,False,0,1.4560227758740783e-05,
two_time_160_vs_1280,escape,1,0.0125,4.391252471855887e-14,4.4436141167748765e-12,0.9882164284424875,0.009882164284424875,True,False,0,5.508899074197362e-05,
two_time_160_vs_1280,input,all,0.0,0.0,0.0,,0.0,True,True,0,7.788908407136483e-12,
two_time_160_vs_1280,input,0,0.0,0.0,0.0,,0.0,True,True,0,7.788908407136483e-12,
two_time_160_vs_1280,input,1,0.0,0.0,0.0,,0.0,True,True,0,,
two_time_160_vs_1280,electron_to_phonon,all,0.0125,1.0304199887008897e-09,0.0004885364527251561,0.00021091977537254314,2.1091977537254315e-06,True,False,0,8.789076096532645e-05,
two_time_160_vs_1280,electron_to_phonon,0,0.0125,1.0304199887008897e-09,0.0004885364527251561,0.00021091977537254314,2.1091977537254315e-06,True,False,0,8.789076096532645e-05,
two_time_160_vs_1280,electron_to_phonon,1,0.0125,5.967612482003026e-12,1.608470129815248e-08,0.037101170680045384,0.0003710117068004538,True,False,0,2.9018635971810417e-05,
two_time_160_vs_1280,condensate_heat,all,0.0125,5.483921096090597e-10,0.0008264042996364478,6.635881612066981e-05,6.635881612066982e-07,True,False,0,2.6377107584154572e-05,
two_time_160_vs_1280,condensate_heat,0,0.0125,5.483921096090597e-10,0.0008264042996364478,6.635881612066981e-05,6.635881612066982e-07,True,False,0,2.6377107584154572e-05,
two_time_160_vs_1280,condensate_heat,1,0.0125,1.4595680880683274e-10,2.4685096824899313e-05,0.0005912750103520329,5.9127501035203284e-06,True,False,0,3.3803084350627416e-05,
two_time_160_vs_1280,transport,all,0.0125,1.1745511518685553e-10,0.0002937421409213243,3.9985789855843204e-05,3.99857898558432e-07,True,False,0,1.0441652417202941e-05,
two_time_160_vs_1280,electronic_population,all,1.0250000000000001,4.220805652941621e-08,0.525465731561827,8.032504118577322e-06,8.032504118577323e-08,True,False,0,6.639294532031819e-06,0.0
two_time_160_vs_1280,electronic_population,0,1.0250000000000001,3.850720498143807e-08,0.499908339920625,7.7028530845379e-06,7.702853084537899e-08,True,False,0,6.187708810950318e-06,0.0
two_time_160_vs_1280,electronic_population,1,0.05,9.319809532865323e-10,0.0016578489648436804,5.621627621394386e-05,5.621627621394386e-07,True,False,0,1.0797125263578625e-05,0.0
two_time_160_vs_1280,phonon_population,all,0.48750000000000004,2.383298768510679e-06,0.0586524018059656,0.004063429109681014,4.063429109681014e-05,True,False,0,0.0030288528130218853,0.0
two_time_160_vs_1280,phonon_population,0,0.48750000000000004,2.383253682983612e-06,0.052787737303175666,0.004514786586316207,4.5147865863162074e-05,True,False,0,0.0033836774710207843,0.0
two_time_160_vs_1280,phonon_population,1,1.7125000000000001,1.7948260220140886e-10,0.006152291671730929,2.9173292128868127e-06,2.9173292128868128e-08,True,False,0,2.9066943247448454e-06,0.0
two_time_320_vs_1280,amplitudes,all,2.0,2.516984620726248e-09,0.9763435167910288,2.577970332612932e-07,2.5779703326129316e-09,True,False,0,2.577970332612932e-07,0.0
two_time_320_vs_1280,amplitudes,0,2.0,2.516984620726248e-09,0.74906013028019,3.3601903491843253e-07,3.3601903491843253e-09,True,False,0,3.3601903491843253e-07,0.0
two_time_320_vs_1280,amplitudes,1,0.34375,5.955389514866738e-10,0.9577353517005698,6.218199531104554e-08,6.218199531104553e-10,True,False,0,9.15588990548923e-10,0.0
two_time_320_vs_1280,excitation_energy,all,0.675,1.3285600952706034e-08,0.4606228761096098,2.8842685940644845e-06,2.8842685940644843e-08,True,False,0,1.6254870982141932e-06,0.0
two_time_320_vs_1280,excitation_energy,0,0.675,1.3285600952706034e-08,0.4606228761096098,2.8842685940644845e-06,2.8842685940644843e-08,True,False,0,1.6254870982141932e-06,0.0
two_time_320_vs_1280,excitation_energy,1,0.037500000000000006,8.818553504617854e-11,0.0016185342933463976,5.448481098528392e-06,5.448481098528392e-08,True,False,0,3.1590605389970897e-06,0.0
two_time_320_vs_1280,electron_energy,all,0.675,1.3007183830016089e-08,0.47873530075809534,2.716988659373713e-06,2.7169886593737132e-08,True,False,0,2.040321155772543e-06,0.0
two_time_320_vs_1280,electron_energy,0,1.9312500000000001,9.42906352996431e-09,0.04120319404048972,2.2884302417668205e-05,2.2884302417668203e-07,True,False,0,2.250892241782105e-05,0.0
two_time_320_vs_1280,electron_energy,1,2.0,1.951143580036785e-09,0.4376681697420933,4.458043136165337e-07,4.458043136165337e-09,True,False,0,4.458043136165337e-07,0.0
two_time_320_vs_1280,phonon_energy,all,0.675,1.1870229715826852e-08,0.12805077415715144,9.269939829695217e-06,9.269939829695218e-08,True,False,0,7.098714445441592e-06,0.0
two_time_320_vs_1280,phonon_energy,0,0.675,1.1870229715826852e-08,0.12805077415715144,9.269939829695217e-06,9.269939829695218e-08,True,False,0,7.098714445441592e-06,0.0
two_time_320_vs_1280,phonon_energy,1,2.0,1.0026343600852416e-10,0.0025863857797704766,3.876584722694456e-06,3.876584722694456e-08,True,False,0,3.876584722694456e-06,0.0
two_time_320_vs_1280,escape,all,2.0,1.1492079440844627e-09,0.016347984951611598,7.029661132463746e-06,7.029661132463746e-08,True,False,0,7.029661132463746e-06,
two_time_320_vs_1280,escape,0,2.0,1.1492079440844627e-09,0.016347984951611598,7.029661132463746e-06,7.029661132463746e-08,True,False,0,7.029661132463746e-06,
two_time_320_vs_1280,escape,1,0.25,4.8613980145394206e-14,4.374998302524596e-08,0.00011111771201680576,1.1111771201680575e-06,True,False,0,2.2090085323347305e-05,
two_time_320_vs_1280,input,all,0.0,0.0,0.0,,0.0,True,True,0,7.372574772902015e-12,
two_time_320_vs_1280,input,0,0.0,0.0,0.0,,0.0,True,True,0,7.372574772902015e-12,
two_time_320_vs_1280,input,1,0.0,0.0,0.0,,0.0,True,True,0,,
two_time_320_vs_1280,electron_to_phonon,all,0.10625000000000001,3.1430871603316257e-09,0.0039176714574058035,8.022845188792093e-05,8.022845188792093e-07,True,False,0,3.57517048468254e-05,
two_time_320_vs_1280,electron_to_phonon,0,0.10625000000000001,3.1430871603316257e-09,0.0039176714574058035,8.022845188792093e-05,8.022845188792093e-07,True,False,0,3.57517048468254e-05,
two_time_320_vs_1280,electron_to_phonon,1,0.00625,3.680435336601821e-13,3.97907200243663e-09,0.009249481623725492,9.249481623725492e-05,True,False,0,1.4786465529035236e-05,
two_time_320_vs_1280,condensate_heat,all,0.00625,3.387087301170294e-11,0.00041599415384384656,8.142151205427081e-06,8.142151205427082e-08,True,False,0,1.4459946170556628e-06,
two_time_320_vs_1280,condensate_heat,0,0.00625,3.387087301170294e-11,0.00041599415384384656,8.142151205427081e-06,8.142151205427082e-08,True,False,0,1.4459946170556628e-06,
two_time_320_vs_1280,condensate_heat,1,0.00625,1.3622262245286169e-11,1.2252764641067464e-05,0.00011117704978702172,1.1117704978702172e-06,True,False,0,3.851690509181031e-06,
two_time_320_vs_1280,transport,all,0.00625,8.46652091425655e-12,0.00014660699869940518,5.774977313065274e-06,5.774977313065274e-08,True,False,0,3.3092441500456774e-06,
two_time_320_vs_1280,electronic_population,all,0.99375,1.1629151720571841e-08,0.525186215303002,2.2142911184107325e-06,2.2142911184107326e-08,True,False,0,1.9330491536111244e-06,0.0
two_time_320_vs_1280,electronic_population,0,0.99375,1.0681096263917355e-08,0.5004616466938937,2.134248715056965e-06,2.1342487150569652e-08,True,False,0,1.8054855108312452e-06,0.0
two_time_320_vs_1280,electronic_population,1,0.043750000000000004,1.1393513841017596e-10,0.001529152632913236,7.450867621573826e-06,7.450867621573826e-08,True,False,0,3.1075504928209177e-06,0.0
two_time_320_vs_1280,phonon_population,all,0.48125,6.639161796907628e-07,0.05867264424590924,0.0011315600110132283,1.1315600110132283e-05,True,False,0,0.0008398368457136592,0.0
two_time_320_vs_1280,phonon_population,0,0.48125,6.639049683476899e-07,0.052808631620873236,0.0012571902508552667,1.2571902508552667e-05,True,False,0,0.0009381970818883805,0.0
two_time_320_vs_1280,phonon_population,1,2.0,6.392741284519388e-11,0.006265220589629149,1.0203537438252892e-06,1.0203537438252893e-08,True,False,0,1.0203537438252892e-06,0.0
two_time_640_vs_1280,amplitudes,all,1.9187500000000002,2.33293051543626e-10,0.9762334383431865,2.3897260878459463e-08,2.389726087845946e-10,True,False,0,2.3825190670681737e-08,0.0
two_time_640_vs_1280,amplitudes,0,1.896875,2.3312107799711157e-10,0.7451603034830989,3.128468826203368e-08,3.1284688262033677e-10,True,False,0,3.1054343312771305e-08,0.0
two_time_640_vs_1280,amplitudes,1,0.340625,7.187139772213413e-11,0.9576661921701579,7.504848590224019e-09,7.504848590224018e-11,True,False,0,2.4024005319713724e-10,0.0
two_time_640_vs_1280,excitation_energy,all,0.41250000000000003,1.7145606046042872e-09,0.441144875217446,3.88661571498288e-07,3.88661571498288e-09,True,False,0,3.988837419296016e-08,0.0
two_time_640_vs_1280,excitation_energy,0,0.41250000000000003,1.7145606046042872e-09,0.441144875217446,3.88661571498288e-07,3.88661571498288e-09,True,False,0,3.988837419296016e-08,0.0
two_time_640_vs_1280,excitation_energy,1,0.034375,1.0079172739485553e-11,0.001537382263061408,6.556061548033456e-07,6.5560615480334566e-09,True,False,0,2.8389469683779407e-07,0.0
two_time_640_vs_1280,electron_energy,all,0.51875,1.6519567380690603e-09,0.48327036636413967,3.418286849445112e-07,3.4182868494451124e-09,True,False,0,6.696550990482817e-08,0.0
two_time_640_vs_1280,electron_energy,0,0.41250000000000003,1.6618133535928337e-09,0.06057847028013508,2.743240867436985e-06,2.7432408674369852e-08,True,False,0,7.38766768581035e-07,0.0
two_time_640_vs_1280,electron_energy,1,1.76875,1.835570029307121e-10,0.4448674289250532,4.1261056889295424e-08,4.1261056889295424e-10,True,False,0,4.004654131279581e-08,0.0
two_time_640_vs_1280,phonon_energy,all,0.6531250000000001,1.5092625205159749e-09,0.12858796840885797,1.1737198582352025e-06,1.1737198582352025e-08,True,False,0,1.3009364076614002e-07,0.0
two_time_640_vs_1280,phonon_energy,0,0.6531250000000001,1.5092625205159749e-09,0.12858796840885797,1.1737198582352025e-06,1.1737198582352025e-08,True,False,0,1.3009364076614002e-07,0.0
