t_s,Ib_A,Is_A,vc_V,Vload_V,Vnode_V,Vdev_V,Ucircuit_J,Vload_simple_V
1.349000000000000036e-08,2.000028097217501540e-05,2.131810827745284534e-05,6.314028639074619625e-05,-6.589136526389150362e-05,-2.751078873145307367e-06,0.000000000000000000e+00,2.024772629738942984e-16,2.202285662861180882e-18
1.349500000000000272e-08,2.000028067911357576e-05,2.131673345550313026e-05,6.307442939468122889e-05,-6.582263881947772498e-05,-2.748209424796496094e-06,0.000000000000000000e+00,2.024765484298999354e-16,2.202285662861180882e-18
1.350000000000000177e-08,2.000028038635780320e-05,2.131536006752923399e-05,6.300864108921271241e-05,-6.575398405857154618e-05,-2.745342969358833770e-06,0.000000000000000000e+00,2.024758350831018363e-16,2.202285662861180882e-18
1.350500000000000082e-08,2.000028009390738602e-05,2.131398811203547930e-05,6.294292140269452083e-05,-6.568540090640466423e-05,-2.742479503710143398e-06,0.000000000000000000e+00,2.024751229313092357e-16,2.202285662861180882e-18
1.350999999999999988e-08,2.000027980176199557e-05,2.131261758752774752e-05,6.287727026355522969e-05,-6.561688928828759764e-05,-2.739619024732367950e-06,0.000000000000000000e+00,2.024744119723352140e-16,2.202285662861180882e-18
1.351500000000000224e-08,2.000027950992132691e-05,2.131124849251348865e-05,6.281168760029814317e-05,-6.554844912960808723e-05,-2.736761529309944064e-06,0.000000000000000000e+00,2.024737022039976093e-16,2.202285662861180882e-18
1.352000000000000129e-08,2.000027921838505140e-05,2.130988082550169772e-05,6.274617334150103657e-05,-6.548008035583231584e-05,-2.733907014331279266e-06,0.000000000000000000e+00,2.024729936241179824e-16,2.202285662861180882e-18
1.352500000000000034e-08,2.000027892715285733e-05,2.130851458500293842e-05,6.268072741581631898e-05,-6.541178289250405451e-05,-2.731055476687735536e-06,0.000000000000000000e+00,2.024722862305225283e-16,2.202285662861180882e-18
1.353000000000000270e-08,2.000027863622442961e-05,2.130714976952930931e-05,6.261534975197069442e-05,-6.534355666524398491e-05,-2.728206913273290490e-06,0.000000000000000000e+00,2.024715800210414851e-16,2.202285662861180882e-18
1.353500000000000175e-08,2.000027834559944635e-05,2.130578637759447422e-05,6.255004027876522965e-05,-6.527540159975139334e-05,-2.725361320986163685e-06,0.000000000000000000e+00,2.024708749935092571e-16,2.202285662861180882e-18
1.354000000000000081e-08,2.000027805527759248e-05,2.130442440771364879e-05,6.248479892507532703e-05,-6.520731762180281550e-05,-2.722518696727488472e-06,0.000000000000000000e+00,2.024701711457645133e-16,2.202285662861180882e-18
