t_over_tau,force_low_packet,force_high_packet
2.362499999999999822e+00,7.489925755475707048e-02,6.856384160108816572e-02
2.399999999999999911e+00,7.491782657284871971e-02,6.881558929233540234e-02
2.437500000000000000e+00,7.493571214741708009e-02,6.905807126321873712e-02
2.475000000000000089e+00,7.495293943299910500e-02,6.929162854397158400e-02
2.512499999999999734e+00,7.496953265830420821e-02,6.951658961301082629e-02
2.549999999999999822e+00,7.498551516029001995e-02,6.973327085891385668e-02
2.587499999999999911e+00,7.500090941698395186e-02,6.994197702539246830e-02
2.625000000000000000e+00,7.501573707909668653e-02,7.014300163988868020e-02
2.662500000000000089e+00,7.503001900047130690e-02,7.033662742639575083e-02
2.699999999999999734e+00,7.504377526741377868e-02,7.052312670308626130e-02
2.737499999999999822e+00,7.505702522694136791e-02,7.070276176530342072e-02
2.774999999999999911e+00,7.506978751399338845e-02,7.087578525445804856e-02
2.812500000000000000e+00,7.508208007763934877e-02,7.104244051334636378e-02
2.850000000000000089e+00,7.509392020632259246e-02,7.120296192839137284e-02
2.887499999999999734e+00,7.510532455217532044e-02,7.135757525928738965e-02
2.924999999999999822e+00,7.511630915443842649e-02,7.150649795651163598e-02
2.962499999999999911e+00,7.512688946201917517e-02,7.164993946714995343e-02
3.000000000000000000e+00,7.513708035521869666e-02,7.178810152946624168e-02
3.037500000000000089e+00,7.514689616666006544e-02,7.192117845663005549e-02
3.074999999999999734e+00,7.515635070144574548e-02,7.204935741000162430e-02
3.112499999999999822e+00,7.516545725657348964e-02,7.217281866235851495e-02
3.149999999999999911e+00,7.517422863963721391e-02,7.229173585143343350e-02
3.187500000000000000e+00,7.518267718683992185e-02,7.240627622412150466e-02
3.225000000000000089e+00,7.519081478034334021e-02,7.251660087169825575e-02
3.262499999999999734e+00,7.519865286497960655e-02,7.262286495638126116e-02
3.299999999999999822e+00,7.520620246434682465e-02,7.272521792955211062e-02
3.337499999999999911e+00,7.521347419631337072e-02,7.282380374194746819e-02
3.375000000000000000e+00,7.522047828795068447e-02,7.291876104611308418e-02
3.412500000000000089e+00,7.522722458991697170e-02,7.301022339140719741e-02
3.449999999999999734e+00,7.523372259031115006e-02,7.309831941182619308e-02
3.487499999999999822e+00,7.523998142801723021e-02,7.318317300691719318e-02
3.524999999999999911e+00,7.524600990555704860e-02,7.326490351603232032e-02
3.562500000000000000e+00,7.525181650147087786e-02,7.334362588616956391e-02
3.599999999999999645e+00,7.525740938224100007e-02,7.341945083363550506e-02
3.637499999999999734e+00,7.526279641377765783e-02,7.349248499975859217e-02
3.674999999999999822e+00,7.526798517248192710e-02,7.356283110087132038e-02
3.712499999999999911e+00,7.527298295590081900e-02,7.363058807277153561e-02
3.750000000000000000e+00,7.527779679299080595e-02,7.369585120986742177e-02
3.787499999999999645e+00,7.528243345400363606e-02,7.375871229920112626e-02
3.824999999999999734e+00,7.528689946000818867e-02,7.381925974953928993e-02
3.862499999999999822e+00,7.529120109206120792e-02,7.387757871571222490e-02
3.899999999999999911e+00,7.529534440004177764e-02,7.393375121837711395e-02
3.937500000000000000e+00,7.529933521115965422e-02,7.398785625937354116e-02
3.974999999999999645e+00,7.530317913815047504e-02,7.403996993283167016e-02
