time_s,current_A,Rpatch_ohm,Vport_V,Ldiff_H,Psource_W,Pload_W,Ppatch_W,Wsource_J,Qload_J,Qpatch_J,Uext_J,balance_defect_J,wrong_energy_balance_defect_J,current_DOP853_A
1.937500000000000030e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.000000000000000073e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.062500000000000116e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.125000000000000158e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.187500000000000201e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.249999999999999985e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.312500000000000028e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.375000000000000070e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.437500000000000113e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.500000000000000156e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.562500000000000198e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
2.625000000000000241e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
