delta_over_Delta0,q_ell0,gap_over_kBTc,current_uA
0.0,0.9,0.6525550219676919,13.29805662176326
0.0,0.915,0.47058201996927657,7.06565736746771
0.0,0.93,0.0,0.0
0.0,0.9450000000000001,0.0,0.0
0.0,0.9600000000000001,0.0,0.0
0.0,0.9750000000000001,0.0,0.0
0.0,0.9900000000000001,0.0,0.0
0.0,1.0050000000000001,0.0,0.0
0.0,1.02,0.0,0.0
0.0,1.0350000000000001,0.0,0.0
0.0,1.05,0.0,0.0
0.0,1.0650000000000002,0.0,0.0
0.0,1.08,0.0,0.0
0.0,1.0950000000000002,0.0,0.0
0.0,1.11,0.0,0.0
0.0,1.125,0.0,0.0
0.0,1.1400000000000001,0.0,0.0
0.0,1.155,0.0,0.0
0.0,1.1700000000000002,0.0,0.0
0.0,1.185,0.0,0.0
0.0,1.2000000000000002,0.0,0.0
0.0,1.215,0.0,0.0
0.0,1.2300000000000002,0.0,0.0
0.0,1.245,0.0,0.0
0.0,1.26,0.0,0.0
0.0,1.2750000000000001,0.0,0.0
0.0,1.29,0.0,0.0
0.0,1.3050000000000002,0.0,0.0
0.0,1.32,0.0,0.0
0.0,1.3350000000000002,0.0,0.0
0.0,1.35,0.0,0.0
0.0,1.3650000000000002,0.0,0.0
0.0,1.3800000000000001,0.0,0.0
0.0,1.395,0.0,0.0
0.0,1.4100000000000001,0.0,0.0
0.0,1.425,0.0,0.0
0.0,1.4400000000000002,0.0,0.0
0.0,1.455,0.0,0.0
0.0,1.4700000000000002,0.0,0.0
0.0,1.485,0.0,0.0
0.0,1.5000000000000002,0.0,0.0
0.0,1.5150000000000001,0.0,0.0
0.0,1.53,0.0,0.0
0.0,1.5450000000000002,0.0,0.0
0.0,1.56,0.0,0.0
0.0,1.5750000000000002,0.0,0.0
0.0,1.59,0.0,0.0
0.0,1.6050000000000002,0.0,0.0
0.0,1.62,0.0,0.0
0.0,1.6350000000000002,0.0,0.0
0.0,1.6500000000000001,0.0,0.0
0.0,1.665,0.0,0.0
0.0,1.6800000000000002,0.0,0.0
0.0,1.695,0.0,0.0
0.0,1.7100000000000002,0.0,0.0
0.0,1.725,0.0,0.0
0.0,1.7400000000000002,0.0,0.0
0.0,1.7550000000000001,0.0,0.0
0.0,1.7700000000000002,0.0,0.0
0.0,1.7850000000000001,0.0,0.0
0.0,1.8,0.0,0.0
0.05,0.0,1.763876942523398,0.0
0.05,0.015000000000000001,1.763699339094777,1.3071784459612799
0.05,0.030000000000000002,1.7631664204639523,2.613141793382328
0.05,0.045000000000000005,1.7622778611568484,3.9166741440631054
0.05,0.060000000000000005,1.761033117248383,5.216557995949043
0.05,0.07500000000000001,1.7594314241451496,6.511573429809359
0.05,0.09000000000000001,1.757471793451064,7.800497282080307
0.05,0.10500000000000001,1.755153008885247,9.082102298988199
0.05,0.12000000000000001,1.7524736212116736,10.355156266824068
0.05,0.135,1.7494319421295141,11.61842111292689
0.05,0.15000000000000002,1.7460260370617449,12.870651971538193
0.05,0.165,1.742253716761754,14.110596208164973
0.05,0.18000000000000002,1.7381125276779237,15.336992395778028
0.05,0.195,1.7335997408967305,16.54856923463904
0.05,0.21000000000000002,1.7287123396430002,17.744044408101576
0.05,0.225,1.7234470051065571,18.922123364220816
0.05,0.24000000000000002,1.717800100468865,20.081498012814983
0.05,0.255,1.711767652908114,21.220845325573965
0.05,0.27,1.7053453333887498,22.3388258257326
0.05,0.28500000000000003,1.6985284338851583,23.434081950275445
0.05,0.30000000000000004,1.6913118418101032,24.50523626709635
0.05,0.315,1.6836900111926172,25.550889524268822
0.05,0.33,1.6756569301770419,26.56961850579788
0.05,0.34500000000000003,1.6672060843180454,27.559973663288286
0.05,0.36000000000000004,1.6583304149675835,28.520476485619515
0.05,0.37500000000000006,1.6490222720147953,29.449616562449833
0.05,0.39,1.6392733599729334,30.345848285810067
0.05,0.405,1.6290746762566997,31.20758712224969
0.05,0.42000000000000004,1.6184164401403534,32.03320536988311
0.05,0.43500000000000005,1.6072880105841947,32.821027293786095
0.05,0.45,1.5956777906181077,33.56932350381123
0.05,0.465,1.583573115275624,34.27630439878878
0.05,0.48000000000000004,1.5709601193485587,34.94011245175565
0.05,0.49500000000000005,1.5578235800108506,35.558813039142485
0.05,0.51,1.544146727895067,36.130383423604556
0.05,0.525,1.5299110181666253,36.652699372531494
0.05,0.54,1.5150958503107346,37.12351871888157
0.05,0.555,1.4996782215590851,37.54046093329705
0.05,0.5700000000000001,1.4836322935536683,37.900981447753665
0.05,0.5850000000000001,1.4669288445030448,38.20233902011045
0.05,0.6000000000000001,1.4495345687967753,38.4415538063337
0.05,0.6150000000000001,1.4314111715811066,38.61535294702014
0.05,0.63,1.4125141853304517,38.72009928443028
0.05,0.645,1.3927914062821498,38.75169717665921
0.05,0.66,1.372180806715902,38.705467087074666
0.05,0.675,1.3506077184025902,38.57597745027545
0.05,0.6900000000000001,1.327980993748018,38.3568179015286
0.05,0.7050000000000001,1.304187719859275,38.0402918324667
0.05,0.7200000000000001,1.2790858635986755,37.61699774471405
0.05,0.7350000000000001,1.2524939254185898,37.07525717233093
0.05,0.7500000000000001,1.2241762136045966,36.40033097342901
0.05,0.765,1.193821610856204,35.57334441271975
0.05,0.78,1.1610124999360614,34.56981387679553
0.05,0.795,1.125178484091613,33.35763493341949
0.05,0.81,1.0855259608598038,31.894357438867623
0.05,0.8250000000000001,1.0409279159624898,30.123552307141047
0.05,0.8400000000000001,0.9897446904074895,27.970097423340455
0.05,0.8550000000000001,0.929515395407294,25.334330036933217
0.05,0.8700000000000001,0.8563768484664689,22.08526057178776
0.05,0.8850000000000001,0.7637952668041574,18.053035668401467
0.05,0.9,0.638972955429698,13.016079937477564
0.05,0.915,0.4439250138159785,6.571441097337665
0.05,0.93,0.11811180661375467,0.5817834141006097
0.05,0.9450000000000001,0.10373821474895796,0.45190942213876606
0.05,0.9600000000000001,0.09522251852490593,0.38077781924079634
0.05,0.9750000000000001,0.08906183868935347,0.3323620921475241
0.05,0.9900000000000001,0.08419909008800197,0.29612474117138243
0.05,1.0050000000000001,0.0801646754603576,0.26748207609976826
0.05,1.02,0.07670688672425087,0.24401801151598704
0.05,1.0350000000000001,0.07367441042168758,0.22430101169482344
0.05,1.05,0.07096888442626612,0.20741271475620124
0.05,1.0650000000000002,0.06852261130417249,0.192728926656264
0.05,1.08,0.06628691868396154,0.1798063162518303
0.05,1.0950000000000002,0.06422558084710932,0.16831891012773834
0.05,1.11,0.062310865513728185,0.15802021666725097
0.05,1.125,0.06052103840095876,0.1487194832569309
0.05,1.1400000000000001,0.05883872300321032,0.14026619301161994
