delta_over_Delta0,q_ell0,H_phase_vacuum_at_fixed_a_0p6Delta0
0.1,0.9381909547738694,0.08601846424047645
0.1,0.941356783919598,0.0646878219861689
0.1,0.9445226130653267,0.04328532290422659
0.1,0.9476884422110553,0.021810966994649517
0.1,0.9508542713567839,0.0002647542574363976
0.1,0.9540201005025126,-0.0213533153074119
0.1,0.9571859296482412,-0.04304324169989497
0.1,0.96035175879397,-0.06480502492001448
0.1,0.9635175879396985,-0.08663866496776791
0.1,0.9666834170854272,-0.10854416184315781
0.1,0.9698492462311559,-0.13052151554618246
0.1,0.9730150753768845,-0.1525707260768419
0.1,0.9761809045226131,-0.17469179343513735
0.1,0.9793467336683418,-0.19688471762106802
0.1,0.9825125628140704,-0.219149498634633
0.1,0.985678391959799,-0.24148613647583445
0.1,0.9888442211055277,-0.26389463114467104
0.1,0.9920100502512563,-0.28637498264114203
0.1,0.9951758793969849,-0.308927190965249
0.1,0.9983417085427136,-0.33155125611699165
0.1,1.0015075376884424,-0.3542471780963703
0.1,1.004673366834171,-0.37701495690338244
0.1,1.0078391959798996,-0.39985459253802974
0.1,1.0110050251256282,-0.42276608500031354
0.1,1.0141708542713568,-0.4457494342902313
0.1,1.0173366834170854,-0.4688046404077846
0.1,1.020502512562814,-0.4919317033529743
0.1,1.0236683417085426,-0.515130623125798
0.1,1.0268341708542714,-0.5384013997262599
0.1,1.03,-0.561744033154354
0.2,0.4,2.607489806799246
0.2,0.4031658291457287,2.6008167822099675
0.2,0.4063316582914573,2.594091151658214
0.2,0.40949748743718595,2.587312915143985
0.2,0.4126633165829146,2.5804820726672797
0.2,0.41582914572864327,2.5735986242280986
0.2,0.4189949748743719,2.566662569826442
0.2,0.42216080402010053,2.5596739094623095
0.2,0.4253266331658292,2.552632643135702
0.2,0.4284924623115578,2.5455387708466186
0.2,0.43165829145728646,2.5383922925950593
0.2,0.4348241206030151,2.531193208381024
0.2,0.4379899497487437,2.5239415182045133
0.2,0.4411557788944724,2.516637222065527
0.2,0.44432160804020104,2.5092803199640645
0.2,0.44748743718592965,2.5018708119001274
0.2,0.4506532663316583,2.4944086978737134
0.2,0.45381909547738697,2.4868939778848245
0.2,0.4569849246231156,2.47932665193346
0.2,0.46015075376884423,2.471706720019619
0.2,0.4633165829145729,2.464034182143303
0.2,0.4664824120603015,2.4563090383045108
0.2,0.46964824120603016,2.448531288503243
0.2,0.4728140703517588,2.4407009327395
0.2,0.4759798994974875,2.432817971013281
0.2,0.47914572864321614,2.4248824033245864
0.2,0.48231155778894474,2.416894229673416
0.2,0.4854773869346734,2.4088534500597696
0.2,0.48864321608040207,2.4007600644836478
0.2,0.49180904522613067,2.3926140729450505
0.2,0.49497487437185933,2.384415475443977
0.2,0.498140703517588,2.376164271980428
0.2,0.5013065326633166,2.3678604625544035
0.2,0.5044723618090452,2.359504047165903
0.2,0.5076381909547739,2.351095025814927
0.2,0.5108040201005025,2.3426333985014756
0.2,0.5139698492462312,2.334119165225548
0.2,0.5171356783919598,2.325552325987145
0.2,0.5203015075376884,2.316932880786266
0.2,0.523467336683417,2.308260829622912
0.2,0.5266331658291458,2.2995361724970813
0.2,0.5297989949748744,2.2907589094087757
0.2,0.5329648241206031,2.281929040357994
0.2,0.5361306532663317,2.273046565344737
0.2,0.5392964824120603,2.264111484369004
0.2,0.542462311557789,2.255123797430795
0.2,0.5456281407035176,2.2460835045301106
0.2,0.5487939698492462,2.236990605666951
0.2,0.5519597989949749,2.227845100841315
0.2,0.5551256281407035,2.218646990053204
0.2,0.5582914572864321,2.209396273302617
0.2,0.5614572864321609,2.200092950589554
0.2,0.5646231155778895,2.1907370219140154
0.2,0.5677889447236182,2.181328487276001
0.2,0.5709547738693468,2.171867346675511
0.2,0.5741206030150754,2.162353600112546
0.2,0.577286432160804,2.1527872475871046
0.2,0.5804522613065327,2.143168289099187
0.2,0.5836180904522613,2.1334967246487953
0.2,0.58678391959799,2.1237725542359263
0.2,0.5899497487437186,2.1139957778605827
0.2,0.5931155778894472,2.1041663955227627
0.2,0.5962814070351758,2.0942844072224673
0.2,0.5994472361809046,2.084349812959696
0.2,0.6026130653266332,2.074362612734449
0.2,0.6057788944723619,2.0643228065467265
0.2,0.6089447236180905,2.0542303943965283
0.2,0.6121105527638191,2.0440853762838547
0.2,0.6152763819095478,2.0338877522087047
0.2,0.6184422110552764,2.0236375221710796
0.2,0.621608040201005,2.0133346861709787
0.2,0.6247738693467337,2.002979244208402
0.2,0.6279396984924623,1.9925711962833499
0.2,0.6311055276381909,1.9821105423958214
0.2,0.6342713567839197,1.9715972825458177
0.2,0.6374371859296483,1.9610314167333385
0.2,0.640603015075377,1.9504129449583831
0.2,0.6437688442211056,1.939741867220952
0.2,0.6469346733668342,1.9290181835210456
0.2,0.6501005025125628,1.9182418938586636
0.2,0.6532663316582915,1.9074129982338053
0.2,0.6564321608040201,1.896531496646472
0.2,0.6595979899497488,1.885597389096662
0.2,0.6627638190954774,1.8746106755843774
0.2,0.665929648241206,1.8635713561096166
0.2,0.6690954773869346,1.8524794306723802
0.2,0.6722613065326634,1.8413348992726681
0.2,0.675427135678392,1.8301377619104802
0.2,0.6785929648241207,1.8188880185858165
0.2,0.6817587939698493,1.8075856692986774
0.2,0.6849246231155779,1.7962307140490628
0.2,0.6880904522613065,1.7848231528369722
0.2,0.6912562814070352,1.7733629856624058
0.2,0.6944221105527639,1.7618502125253634
0.2,0.6975879396984925,1.7502848334258456
0.2,0.7007537688442211,1.7386668483638525
0.2,0.7039195979899497,1.7269962573393836
0.2,0.7070854271356783,1.715273060352439
0.2,0.7102512562814071,1.7034972574030183
0.2,0.7134170854271358,1.691668848491122
0.2,0.7165829145728644,1.6797878336167502
0.2,0.719748743718593,1.6678542127799025
0.2,0.7229145728643216,1.6558679859805796
0.2,0.7260804020100503,1.6438291532187803
0.2,0.7292462311557789,1.631737714494506
0.2,0.7324120603015076,1.619593669807755
0.2,0.7355778894472362,1.6073970191585296
0.2,0.7387437185929648,1.5951477625468278
0.2,0.7419095477386934,1.5828458999726502
0.2,0.7450753768844222,1.570491431435997
0.2,0.7482412060301508,1.5580843569368683
0.2,0.7514070351758795,1.5456246764752637
0.2,0.7545728643216081,1.5331123900511834
0.2,0.7577386934673367,1.520547497664628
0.2,0.7609045226130653,1.5079299993155963
0.2,0.764070351758794,1.4952598950040892
0.2,0.7672361809045227,1.4825371847301054
0.2,0.7704020100502513,1.4697618684936469
0.2,0.7735678391959799,1.456933946294713
0.2,0.7767336683417085,1.444053418133303
0.2,0.7798994974874371,1.4311202840094175
0.2,0.7830653266331659,1.4181345439230555
0.2,0.7862311557788946,1.4050961978742185
0.2,0.7893969849246232,1.3920052458629053
0.2,0.7925628140703518,1.3788616878891171
