T_over_Tc,delta_kBTc,Q,F_extrapolation_change,X_extrapolation_change,Pi_extrapolation_change
4.000000000000000222e-01,2.000000000000000000e+00,1.499999999999999944e-01,9.992007221626408864e-16,7.771561172376095783e-16,5.551115123125782702e-16
4.000000000000000222e-01,2.000000000000000000e+00,4.500000000000000111e-01,8.881784197001252323e-16,2.997602166487922659e-15,1.676557177780016618e-16
4.000000000000000222e-01,2.000000000000000000e+00,7.500000000000000000e-01,3.330669073875469621e-16,5.983518670793947571e-16,3.344065770617608666e-16
8.000000000000000444e-01,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.938893903907228378e-17,0.000000000000000000e+00
8.000000000000000444e-01,2.500000000000000000e-01,1.499999999999999944e-01,0.000000000000000000e+00,1.387778780781445676e-17,6.938893903907228378e-18
8.000000000000000444e-01,2.500000000000000000e-01,4.500000000000000111e-01,6.938893903907228378e-18,3.989863994746656317e-17,6.938893903907228378e-18
8.000000000000000444e-01,2.500000000000000000e-01,7.500000000000000000e-01,6.938893903907228378e-18,2.775557561562891351e-16,8.326672684688674053e-17
8.000000000000000444e-01,8.000000000000000444e-01,0.000000000000000000e+00,1.387778780781445676e-17,1.942890293094023946e-16,0.000000000000000000e+00
8.000000000000000444e-01,8.000000000000000444e-01,1.499999999999999944e-01,1.387778780781445676e-17,2.775557561562891351e-17,5.551115123125782702e-17
8.000000000000000444e-01,8.000000000000000444e-01,4.500000000000000111e-01,1.142749089799721673e-16,1.873501354054951662e-16,3.330669073875469621e-16
8.000000000000000444e-01,8.000000000000000444e-01,7.500000000000000000e-01,1.110223024625156540e-16,2.220446049250313081e-16,0.000000000000000000e+00
8.000000000000000444e-01,1.500000000000000000e+00,0.000000000000000000e+00,1.387778780781445676e-16,1.665334536937734811e-16,0.000000000000000000e+00
8.000000000000000444e-01,1.500000000000000000e+00,1.499999999999999944e-01,1.387778780781445676e-17,3.885780586188047891e-16,3.330669073875469621e-16
8.000000000000000444e-01,1.500000000000000000e+00,4.500000000000000111e-01,8.326672684688674053e-17,7.771561172376095783e-16,3.107045709797571245e-16
8.000000000000000444e-01,1.500000000000000000e+00,7.500000000000000000e-01,5.551115123125782702e-16,3.710577746363693542e-16,4.321202938687107031e-16
8.000000000000000444e-01,2.000000000000000000e+00,0.000000000000000000e+00,3.885780586188047891e-16,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,2.000000000000000000e+00,1.499999999999999944e-01,7.216449660063517513e-16,2.185517674861188571e-16,5.551115123125782702e-16
8.000000000000000444e-01,2.000000000000000000e+00,4.500000000000000111e-01,7.771561172376095783e-16,1.642349196363942971e-16,5.932236684984001445e-16
8.000000000000000444e-01,2.000000000000000000e+00,7.500000000000000000e-01,7.317794363758591423e-16,4.431060112186466190e-16,6.677174952142085609e-16
9.799999999999999822e-01,2.500000000000000000e-01,0.000000000000000000e+00,2.168404344971008868e-19,6.071532165918824830e-18,0.000000000000000000e+00
9.799999999999999822e-01,2.500000000000000000e-01,1.499999999999999944e-01,2.846030702774449139e-19,8.673617379884035472e-19,5.204170427930421283e-18
9.799999999999999822e-01,2.500000000000000000e-01,4.500000000000000111e-01,0.000000000000000000e+00,5.551115123125782702e-17,2.775557561562891351e-17
9.799999999999999822e-01,2.500000000000000000e-01,7.500000000000000000e-01,1.040834085586084257e-17,2.498001805406602216e-16,1.387778780781445676e-17
9.799999999999999822e-01,8.000000000000000444e-01,0.000000000000000000e+00,1.387778780781445676e-17,9.714451465470119729e-17,0.000000000000000000e+00
9.799999999999999822e-01,8.000000000000000444e-01,1.499999999999999944e-01,3.122502256758252770e-17,1.387778780781445676e-17,1.110223024625156540e-16
9.799999999999999822e-01,8.000000000000000444e-01,4.500000000000000111e-01,5.551115123125782702e-17,2.220446049250313081e-16,4.996003610813204432e-16
9.799999999999999822e-01,8.000000000000000444e-01,7.500000000000000000e-01,2.775557561562891351e-17,5.551115123125782702e-16,3.330669073875469621e-16
9.799999999999999822e-01,1.500000000000000000e+00,0.000000000000000000e+00,1.110223024625156540e-16,2.220446049250313081e-16,0.000000000000000000e+00
9.799999999999999822e-01,1.500000000000000000e+00,1.499999999999999944e-01,2.775557561562891351e-17,4.440892098500626162e-16,3.330669073875469621e-16
9.799999999999999822e-01,1.500000000000000000e+00,4.500000000000000111e-01,2.220446049250313081e-16,5.551115123125782702e-16,5.280204059230042125e-16
9.799999999999999822e-01,1.500000000000000000e+00,7.500000000000000000e-01,1.221245327087672194e-15,1.052551942060398544e-15,2.419046672576976693e-16
9.799999999999999822e-01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.713893413266488618e-16,0.000000000000000000e+00
9.799999999999999822e-01,2.000000000000000000e+00,1.499999999999999944e-01,2.220446049250313081e-16,1.660286595585303412e-16,4.440892098500626162e-16
9.799999999999999822e-01,2.000000000000000000e+00,4.500000000000000111e-01,9.750198613012351752e-16,1.331875907531431726e-16,1.088578114685085124e-15
9.799999999999999822e-01,2.000000000000000000e+00,7.500000000000000000e-01,1.162903383892143175e-16,1.932448299945132293e-16,4.394782341004640460e-16
