T_over_Tc,delta_kBTc,Q,h,force_scaled_error,current_scaled_error,mixed_scaled_error
4.000000000000000222e-01,1.500000000000000000e+00,1.499999999999999944e-01,1.000000000000000021e-02,4.887396598540760806e-10,2.231300699762073236e-10,2.175483015953716404e-09
4.000000000000000222e-01,1.500000000000000000e+00,1.499999999999999944e-01,3.000000000000000062e-03,3.936684311867111319e-12,1.776800928610100527e-12,1.763711399149769932e-11
4.000000000000000222e-01,1.500000000000000000e+00,1.499999999999999944e-01,1.000000000000000021e-03,4.301559108910169016e-13,8.071321389024888049e-14,3.700373341075646749e-13
4.000000000000000222e-01,1.500000000000000000e+00,1.499999999999999944e-01,2.999999999999999737e-04,2.451372438372345641e-13,1.536548666081216652e-13,1.696087714719851647e-12
4.000000000000000222e-01,1.500000000000000000e+00,1.499999999999999944e-01,1.000000000000000048e-04,2.160327472466860854e-12,2.250866160125042370e-12,4.718447854656915297e-12
4.000000000000000222e-01,1.500000000000000000e+00,4.500000000000000111e-01,1.000000000000000021e-02,1.150978617969755646e-10,2.006489688466866054e-09,7.807964005411741088e-09
4.000000000000000222e-01,1.500000000000000000e+00,4.500000000000000111e-01,3.000000000000000062e-03,8.028577802576819522e-13,1.623971547779735197e-11,6.313790748656210045e-11
4.000000000000000222e-01,1.500000000000000000e+00,4.500000000000000111e-01,1.000000000000000021e-03,3.526068326209497172e-13,1.609316545559097190e-13,1.703000481097332861e-12
4.000000000000000222e-01,1.500000000000000000e+00,4.500000000000000111e-01,2.999999999999999737e-04,3.896119538104869662e-13,5.637362168084784787e-13,1.380736566482456885e-12
4.000000000000000222e-01,1.500000000000000000e+00,4.500000000000000111e-01,1.000000000000000048e-04,5.161503169315295736e-12,2.082484135505239608e-12,2.416288991339944279e-12
4.000000000000000222e-01,1.500000000000000000e+00,7.500000000000000000e-01,1.000000000000000021e-02,4.013449572681793143e-10,5.670625500338543211e-09,1.784760195382721671e-10
4.000000000000000222e-01,1.500000000000000000e+00,7.500000000000000000e-01,3.000000000000000062e-03,3.142375248899043072e-12,4.589635529401057001e-11,1.406052804046402416e-12
4.000000000000000222e-01,1.500000000000000000e+00,7.500000000000000000e-01,1.000000000000000021e-03,1.635358515272855584e-13,3.592650142715800401e-13,3.072231243085253383e-13
4.000000000000000222e-01,1.500000000000000000e+00,7.500000000000000000e-01,2.999999999999999737e-04,2.142730437526552123e-14,1.280235384498818463e-13,4.642706242957728835e-14
4.000000000000000222e-01,1.500000000000000000e+00,7.500000000000000000e-01,1.000000000000000048e-04,1.001343452600167439e-11,8.893390668391012011e-13,1.117434026058668517e-12
4.000000000000000222e-01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,3.380848934142477447e-10,3.700743415417188731e-15,0.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000062e-03,3.130717907140478928e-12,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,3.180788965551073488e-13,3.700743415417188258e-14,0.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999737e-04,1.773692304141150089e-12,1.233581138472396128e-13,0.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000048e-04,1.904387758600023517e-11,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000000e+00,1.499999999999999944e-01,1.000000000000000021e-02,3.346902754941538660e-10,7.071599972263697964e-10,2.239227692157896854e-10
4.000000000000000222e-01,2.000000000000000000e+00,1.499999999999999944e-01,3.000000000000000062e-03,3.002598170098735864e-12,5.687561532852214441e-12,1.585120923408567251e-12
4.000000000000000222e-01,2.000000000000000000e+00,1.499999999999999944e-01,1.000000000000000021e-03,1.653122083666858089e-13,9.736655925962622860e-13,7.031042414951116371e-13
4.000000000000000222e-01,2.000000000000000000e+00,1.499999999999999944e-01,2.999999999999999737e-04,4.201528014391442412e-12,2.515543329195679689e-12,3.793243497085541094e-12
4.000000000000000222e-01,2.000000000000000000e+00,1.499999999999999944e-01,1.000000000000000048e-04,4.941602682606571761e-12,5.502598376949663361e-12,1.026956297778269800e-11
4.000000000000000222e-01,2.000000000000000000e+00,4.500000000000000111e-01,1.000000000000000021e-02,2.752892358515168780e-10,3.797586548660908791e-10,2.650265240535438645e-09
4.000000000000000222e-01,2.000000000000000000e+00,4.500000000000000111e-01,3.000000000000000062e-03,2.327471548824178171e-12,3.022792440031798796e-12,2.129760718187778641e-11
