nu_THz,alpha2F,phdos_as_supplied,cumulative_modes
1.900949999999999862e-01,3.360543999999999789e-86,1.026671999999999917e-05,6.505775205951138574e-07
1.901629999999999987e-01,3.360543999999999789e-86,1.027403000000000063e-05,6.512759060951140356e-07
1.918020000000000003e-01,3.360543999999999789e-86,1.045192999999999939e-05,6.682608303151140669e-07
1.934410000000000018e-01,3.360543999999999789e-86,1.063136000000000014e-05,6.855385864701141273e-07
1.950810000000000044e-01,3.360543999999999789e-86,1.081231999999999951e-05,7.031224040701141557e-07
1.967200000000000060e-01,3.360543999999999789e-86,1.099480000000000017e-05,7.209933389101141756e-07
1.983590000000000075e-01,3.360543999999999789e-86,1.117880999999999945e-05,7.391646123051141952e-07
1.999990000000000101e-01,3.360543999999999789e-86,1.136435000000000072e-05,7.576500035051141973e-07
2.001001000000000030e-01,3.360543999999999789e-86,1.137587999999999924e-05,7.587995221316141019e-07
2.016380000000000117e-01,3.360543999999999789e-86,1.155142000000000061e-05,7.764294694666142025e-07
2.032770000000000132e-01,3.360543999999999789e-86,1.174001000000000010e-05,7.955167963516142722e-07
2.049169999999999880e-01,3.360543999999999789e-86,1.193011999999999920e-05,8.149263029516139195e-07
2.065559999999999896e-01,3.360543999999999789e-86,1.212176999999999931e-05,8.346368268066139002e-07
2.081949999999999912e-01,3.360543999999999789e-86,1.231494000000000071e-05,8.546627106516139643e-07
2.098349999999999937e-01,3.360543999999999789e-86,1.250964000000000073e-05,8.750188662516140210e-07
2.101050999999999891e-01,3.360543999999999789e-86,1.254197000000000081e-05,8.784020861821139637e-07
2.114739999999999953e-01,3.360543999999999789e-86,1.270586999999999936e-05,8.956829702701140534e-07
2.131129999999999969e-01,3.360543999999999789e-86,1.290361999999999929e-05,9.166699473251140968e-07
2.147529999999999994e-01,3.360543999999999789e-86,1.310289999999999952e-05,9.379952937251141286e-07
2.163920000000000010e-01,3.360543999999999789e-86,1.330371000000000006e-05,9.596355106201142504e-07
2.180310000000000026e-01,3.360543999999999789e-86,1.350604999999999921e-05,9.816061089401142217e-07
2.196710000000000051e-01,3.360543999999999789e-86,1.370990999999999966e-05,1.003923196140114184e-06
2.201101000000000030e-01,3.360543999999999789e-86,1.376492999999999968e-05,1.009955297262114146e-06
2.213100000000000067e-01,3.360543999999999789e-86,1.391530000000000041e-05,1.026562051250614104e-06
2.229490000000000083e-01,3.360543999999999789e-86,1.412221000000000078e-05,1.049538790695614126e-06
2.245890000000000108e-01,3.360543999999999789e-86,1.433066000000000045e-05,1.072870144095614182e-06
2.262280000000000124e-01,3.360543999999999789e-86,1.454062999999999973e-05,1.096530166250614132e-06
2.278669999999999862e-01,3.360543999999999789e-86,1.475212000000000031e-05,1.120535574875613731e-06
2.295069999999999888e-01,3.360543999999999789e-86,1.496515000000000020e-05,1.144903736275613762e-06
2.301150999999999891e-01,3.360543999999999789e-86,1.504475000000000025e-05,1.154028246370613821e-06
2.311459999999999904e-01,3.360543999999999789e-86,1.517969999999999969e-05,1.169607439123113886e-06
2.327849999999999919e-01,3.360543999999999789e-86,1.539578000000000119e-05,1.194664044983113856e-06
2.344249999999999945e-01,3.360543999999999789e-86,1.561338000000000060e-05,1.220091556183113960e-06
2.360639999999999961e-01,3.360543999999999789e-86,1.583251999999999931e-05,1.245861471233113952e-06
2.377029999999999976e-01,3.360543999999999789e-86,1.605317999999999933e-05,1.271991802383114030e-06
2.393430000000000002e-01,3.360543999999999789e-86,1.627536000000000065e-05,1.298501205183114088e-06
2.401201000000000030e-01,3.360543999999999789e-86,1.638143000000000081e-05,1.311190000937614204e-06
2.409820000000000018e-01,3.360543999999999789e-86,1.649908000000000128e-05,1.325359856722114128e-06
2.426210000000000033e-01,3.360543999999999789e-86,1.672431999999999982e-05,1.352586433022114119e-06
2.442610000000000059e-01,3.360543999999999789e-86,1.695109000000000036e-05,1.380200269222114228e-06
2.459000000000000075e-01,3.360543999999999789e-86,1.717937999999999882e-05,1.408170189387114266e-06
2.475390000000000090e-01,3.360543999999999789e-86,1.740919999999999927e-05,1.436515530697114402e-06
2.491790000000000116e-01,3.360543999999999789e-86,1.764054999999999833e-05,1.465256325697114511e-06
2.501250999999999891e-01,3.360543999999999789e-86,1.777496999999999966e-05,1.482009637433114072e-06
2.508179999999999854e-01,3.360543999999999789e-86,1.787342999999999940e-05,1.494360025613113979e-06
2.524569999999999870e-01,3.360543999999999789e-86,1.810782999999999837e-05,1.523846668183113925e-06
2.540970000000000173e-01,3.360543999999999789e-86,1.834375999999999935e-05,1.553736971983114520e-06
2.557360000000000189e-01,3.360543999999999789e-86,1.858121999999999893e-05,1.583996993093114537e-06
2.573750000000000204e-01,3.360543999999999789e-86,1.882019999999999982e-05,1.614647456783114523e-06
2.590149999999999952e-01,3.360543999999999789e-86,1.906070999999999932e-05,1.645709802983114038e-06
2.601300999999999752e-01,3.360543999999999789e-86,1.922537999999999922e-05,1.667056212462613685e-06
2.606539999999999968e-01,3.360543999999999789e-86,1.930275000000000082e-05,1.677148656116114137e-06
2.622929999999999984e-01,3.360543999999999789e-86,1.954632000000000092e-05,1.708985468981114111e-06
2.639329999999999732e-01,3.360543999999999789e-86,1.979140999999999895e-05,1.741242407581113666e-06
2.655719999999999748e-01,3.360543999999999789e-86,2.003802999999999897e-05,1.773882633661113737e-06
2.672109999999999763e-01,3.360543999999999789e-86,2.028618000000000099e-05,1.806928323756113859e-06
2.688510000000000066e-01,3.360543999999999789e-86,2.053585000000000092e-05,1.840402388356114432e-06
2.701351000000000169e-01,3.360543999999999789e-86,2.073264999999999876e-05,1.866898828781114572e-06
2.704900000000000082e-01,3.360543999999999789e-86,2.078704999999999946e-05,1.874266499546114454e-06
2.721290000000000098e-01,3.360543999999999789e-86,2.103978000000000001e-05,1.908543586731114319e-06
2.737689999999999846e-01,3.360543999999999789e-86,2.129402999999999846e-05,1.943257310931113707e-06
2.754079999999999862e-01,3.360543999999999789e-86,2.154980999999999892e-05,1.978367837811113762e-06
2.770469999999999877e-01,3.360543999999999789e-86,2.180712000000000137e-05,2.013898841946113599e-06
2.786870000000000180e-01,3.360543999999999789e-86,2.206595999999999905e-05,2.049874767546114440e-06
2.801401000000000030e-01,3.360543999999999789e-86,2.229678999999999900e-05,2.082106523558613981e-06
2.803260000000000196e-01,3.360543999999999789e-86,2.232632000000000141e-05,2.086254241633114527e-06
2.819650000000000212e-01,3.360543999999999789e-86,2.258820999999999900e-05,2.123061698968114427e-06
2.836049999999999960e-01,3.360543999999999789e-86,2.285162999999999859e-05,2.160322367768113850e-06
2.852439999999999976e-01,3.360543999999999789e-86,2.311656999999999948e-05,2.197993307668113684e-06
2.868829999999999991e-01,3.360543999999999789e-86,2.338304999999999968e-05,2.236099746258113594e-06
2.885229999999999739e-01,3.360543999999999789e-86,2.365104000000000048e-05,2.274667700058112966e-06
2.901450999999999891e-01,3.360543999999999789e-86,2.391778999999999924e-05,2.313248399629613202e-06
2.901619999999999755e-01,3.360543999999999789e-86,2.392057000000000059e-05,2.313652633771612701e-06
2.918009999999999771e-01,3.360543999999999789e-86,2.419161999999999861e-05,2.353080573476612852e-06
2.934410000000000074e-01,3.360543999999999789e-86,2.446419999999999864e-05,2.392978345876613783e-06
2.950800000000000090e-01,3.360543999999999789e-86,2.473831000000000066e-05,2.433299802821613893e-06
2.967190000000000105e-01,3.360543999999999789e-86,2.501394000000000059e-05,2.474071771696613809e-06
2.983589999999999853e-01,3.360543999999999789e-86,2.529109999999999914e-05,2.515321904496613007e-06
2.999979999999999869e-01,3.360543999999999789e-86,2.556978999999999968e-05,2.557002403851613035e-06
3.001500999999999753e-01,3.360543999999999789e-86,2.559578999999999910e-05,2.560893546210612627e-06
3.016369999999999885e-01,3.360550999999999769e-86,2.585000000000000153e-05,2.599140918786112869e-06
3.032770000000000188e-01,3.360558999999999848e-86,2.613174999999999930e-05,2.641765953786113816e-06
3.049160000000000204e-01,3.360565999999999828e-86,2.641501999999999837e-05,2.684828031801113854e-06
3.065550000000000219e-01,3.360573999999999908e-86,2.669980999999999874e-05,2.728355634986113850e-06
3.081949999999999967e-01,3.360580999999999888e-86,2.698613000000000110e-05,2.772378105786113076e-06
3.098339999999999983e-01,3.360588999999999967e-86,2.727397999999999869e-05,2.816844265931113067e-06
3.101551000000000169e-01,3.360590000000000066e-86,2.733067000000000035e-05,2.825611042488613632e-06
3.114729999999999999e-01,3.360904999999999884e-86,2.756336000000000167e-05,2.861783463557113166e-06
3.131129999999999747e-01,3.361296000000000097e-86,2.785426999999999988e-05,2.907225920157112638e-06
3.147519999999999762e-01,3.361686000000000212e-86,2.814669999999999938e-05,2.953118715072112534e-06
