time,qp_energy,qp_force
6.750000000000000444e-01,3.375000000000000222e-02,2.699519589842695744e-02
7.000000000000000666e-01,3.500000000000001721e-02,2.795037031176653489e-02
7.250000000000000888e-01,3.625000000000001138e-02,2.890345726243632660e-02
7.500000000000000000e-01,3.750000000000000555e-02,2.985450322143719595e-02
7.750000000000000222e-01,3.874999999999999278e-02,3.080355199037791009e-02
8.000000000000000444e-01,4.000000000000000083e-02,3.175064493570724233e-02
8.250000000000000666e-01,4.125000000000000888e-02,3.269582120091297367e-02
8.500000000000000888e-01,4.250000000000000305e-02,3.363911789017438869e-02
8.750000000000000000e-01,4.374999999999999722e-02,3.458057023279908354e-02
9.000000000000000222e-01,4.499999999999999833e-02,3.552021173065125076e-02
9.250000000000000444e-01,4.624999999999999944e-02,3.645807429022686341e-02
9.500000000000000666e-01,4.750000000000000056e-02,3.739418834103122591e-02
9.750000000000000888e-01,4.875000000000000860e-02,3.832858294191485160e-02
1.000000000000000000e+00,5.000000000000000278e-02,3.926128587702272521e-02
1.025000000000000133e+00,5.125000000000001082e-02,4.019232374301290323e-02
1.050000000000000044e+00,5.250000000000001887e-02,4.112172202919976705e-02
1.074999999999999956e+00,5.375000000000000611e-02,4.204950519050237867e-02
1.100000000000000089e+00,5.500000000000000722e-02,4.297569671019385584e-02
1.125000000000000000e+00,5.625000000000000833e-02,4.390031916295851488e-02
1.150000000000000133e+00,5.750000000000000944e-02,4.482339426987418107e-02
1.175000000000000044e+00,5.874999999999999667e-02,4.574494294866582322e-02
1.200000000000000178e+00,6.000000000000000472e-02,4.666498536029158040e-02
1.225000000000000089e+00,6.125000000000000583e-02,4.758354095207832646e-02
1.250000000000000000e+00,6.249999999999999306e-02,4.850062849763717154e-02
1.275000000000000133e+00,6.375000000000000111e-02,4.941626613378750921e-02
1.300000000000000044e+00,6.499999999999996059e-02,5.033047139472011933e-02
1.325000000000000178e+00,6.625000000000000333e-02,5.124326124362806739e-02
1.350000000000000089e+00,6.749999999999999056e-02,5.215465210203519553e-02
1.375000000000000000e+00,6.875000000000000555e-02,5.306465987705194509e-02
1.400000000000000133e+00,7.000000000000000666e-02,5.397329998678768170e-02
1.425000000000000044e+00,7.125000000000000777e-02,5.488058738414922783e-02
1.450000000000000178e+00,7.249999999999999500e-02,5.578653657925521092e-02
1.475000000000000089e+00,7.375000000000000999e-02,5.669116166069555068e-02
1.500000000000000000e+00,7.500000000000001110e-02,5.759447631523225558e-02
1.525000000000000133e+00,7.624999999999999833e-02,5.849649384398074303e-02
1.550000000000000044e+00,7.750000000000001332e-02,5.939722718137677160e-02
1.575000000000000178e+00,7.875000000000001443e-02,6.029668891118102059e-02
1.600000000000000089e+00,8.000000000000001554e-02,6.119489128142837492e-02
1.625000000000000000e+00,8.124999999999998890e-02,6.209184621863399201e-02
1.650000000000000133e+00,8.250000000000001776e-02,6.298756534123256534e-02
1.675000000000000044e+00,8.374999999999999112e-02,6.388205997228771360e-02
1.700000000000000178e+00,8.500000000000003386e-02,6.477534115150784810e-02
1.725000000000000089e+00,8.624999999999999334e-02,6.566741964660538500e-02
1.750000000000000000e+00,8.749999999999999445e-02,6.655830596403591870e-02
1.775000000000000133e+00,8.874999999999996780e-02,6.744801035915398701e-02
1.800000000000000044e+00,9.000000000000002442e-02,6.833654284582214855e-02
1.825000000000000178e+00,9.125000000000001166e-02,6.922391320551021798e-02
1.850000000000000089e+00,9.249999999999999889e-02,7.011013099592056097e-02
1.875000000000000000e+00,9.375000000000002776e-02,7.099520555917764042e-02
1.900000000000000133e+00,9.500000000000004274e-02,7.187914602961652244e-02
1.925000000000000044e+00,9.625000000000002998e-02,7.276196134120894998e-02
1.950000000000000178e+00,9.750000000000001721e-02,7.364366023466197009e-02
1.975000000000000089e+00,9.875000000000003220e-02,7.452425126422715373e-02
2.000000000000000000e+00,1.000000000000000194e-01,7.540374280425610198e-02
