time,ue_0,ue_1,uph_0,uph_1,escape,total
5.500000000000000000e+00,5.333692645391131526e-01,3.220221592968526281e-01,8.687296365473967663e-02,3.701390351565437067e-03,1.542937773350120390e-01,1.100259555177282911e+00
5.625000000000000000e+00,5.340418716342507643e-01,3.227561514494676764e-01,8.411502013194575855e-02,3.744495436732220729e-03,1.556020165248865605e-01,1.100259555177282911e+00
5.750000000000000000e+00,5.346347392059052073e-01,3.234886315576824822e-01,8.147932452751247001e-02,3.788057137297024500e-03,1.568688027488858994e-01,1.100259555177283133e+00
5.875000000000000000e+00,5.351520610566555813e-01,3.242193437126532074e-01,7.896010338672410089e-02,3.832039582858813055e-03,1.580960074383910285e-01,1.100259555177282689e+00
6.000000000000000000e+00,5.355978261012985797e-01,3.249480481385226827e-01,7.655185984703982705e-02,3.876407580431835524e-03,1.592854135099899815e-01,1.100259555177282911e+00
6.125000000000000000e+00,5.359758284232956083e-01,3.256745203264235222e-01,7.424936012958209541e-02,3.921126651158806167e-03,1.604387196468227694e-01,1.100259555177282689e+00
6.250000000000000000e+00,5.362896759963809989e-01,3.263985502975350061e-01,7.204762181927812370e-02,3.966163043058310370e-03,1.615575440210304803e-01,1.100259555177282911e+00
6.375000000000000000e+00,5.365428002071543911e-01,3.271199417812111765e-01,6.994190107130349165e-02,4.011483768033345838e-03,1.626434283495805655e-01,1.100259555177282911e+00
6.500000000000000000e+00,5.367384643286698953e-01,3.278385114939362799e-01,6.792768122327837166e-02,4.057056620868070354e-03,1.636978415105303508e-01,1.100259555177282911e+00
6.625000000000000000e+00,5.368797717078932497e-01,3.285540884427295971e-01,6.600066179092008156e-02,4.102850197389623643e-03,1.647221830383503727e-01,1.100259555177282911e+00
6.750000000000000000e+00,5.369696734900253343e-01,3.292665132707293663e-01,6.415674808461219181e-02,4.148833907877668217e-03,1.657177864240382270e-01,1.100259555177282689e+00
6.875000000000000000e+00,5.370109759297512220e-01,3.299756376401309921e-01,6.239204137980398912e-02,4.194977986597094727e-03,1.666859222409996233e-01,1.100259555177282911e+00
7.000000000000000000e+00,5.370063473528386977e-01,3.306813236463181926e-01,6.070282955623497456e-02,4.241253498627065369e-03,1.676278011232640308e-01,1.100259555177283133e+00
7.125000000000000000e+00,5.369583248315195068e-01,3.313834432570234023e-01,5.908557812097832429e-02,4.287632345159487351e-03,1.685445766226020547e-01,1.100259555177282911e+00
