delta_over_Delta0,r_over_ell0,a_over_kBTc,q_delta_ell0,force_dimensionless,energy_excess_density,current_moment_dimensionless
0.05,1.1457057558774415e-05,2.020883965620133e-05,0.004582822541694737,-6.794157306490903e-06,6.407174874177584,5.599245868628992e-05
0.05,1.1568914241198156e-05,2.0406141079169577e-05,0.0046275652051847495,-6.860148338376048e-06,6.40717487414267,5.653912004643022e-05
0.05,1.1681862994368567e-05,2.060536878054671e-05,0.00467274469673964,-6.926773559720216e-06,6.40717487410707,5.7091118529632696e-05
0.05,1.1795914480308605e-05,2.0806541566829146e-05,0.00471836528116213,-6.994038863863664e-06,6.40717487407077,5.764850624289561e-05
0.05,1.1911079465135882e-05,2.1009678428123496e-05,0.00476443126489262,-7.0619501928639135e-06,6.4071748740337595,5.8211335801944386e-05
0.05,1.2027368820078941e-05,2.1214798539939092e-05,0.00481094699641569,-7.130513537710928e-06,6.407174873996025,5.877966033619819e-05
0.05,1.2144793522503558e-05,2.142192126499829e-05,0.004857916866670611,-7.199734938536433e-06,6.407174873957547,5.9353533493785694e-05
0.05,1.2263364656948823e-05,2.1631066155063984e-05,0.0049053453094657804,-7.269620484817144e-06,6.407174873918317,5.993300944660856e-05
0.05,1.2383093416173597e-05,2.1842252952785425e-05,0.004953236801897292,-7.340176315572508e-06,6.407174873878315,6.051814289545564e-05
0.05,1.2503991102213032e-05,2.2055501593561796e-05,0.005001595864771542,-7.411408619554951e-06,6.407174873837528,6.110898907516639e-05
0.05,1.262606912744547e-05,2.227083220742409e-05,0.005050427063031985,-7.48332363543453e-06,6.407174873795944,6.170560375984494e-05
0.05,1.2749339015669717e-05,2.2488265120935272e-05,0.00509973500619002,-7.555927651975117e-06,6.407174873753541,6.230804326812484e-05
0.05,1.2873812403192843e-05,2.2707820859109053e-05,0.005149524348760127,-7.629227008204473e-06,6.407174873710305,6.291636446848543e-05
0.05,1.2999501039928714e-05,2.292952014734755e-05,0.005199799790699262,-7.703228093575678e-06,6.4071748736662215,6.353062478462053e-05
0.05,1.3126416790506994e-05,2.3153383913397428e-05,0.0052505660778504465,-7.777937348120553e-06,6.4071748736212735,6.41508822008582e-05
0.05,1.325457163539323e-05,2.3379433289325593e-05,0.005301828002390803,-7.853361262594977e-06,6.407174873575446,6.477719526763487e-05
0.05,1.3383977672019752e-05,2.360768961351396e-05,0.005353590403283896,-7.929506378614692e-06,6.407174873528716,6.540962310702218e-05
0.05,1.3514647115927626e-05,2.3838174432673724e-05,0.005405858166736522,-8.006379288782435e-06,6.407174873481071,6.604822541830791e-05
0.05,1.3646592301919777e-05,2.4070909503879312e-05,0.00545863622665993,-8.083986636805044e-06,6.40717487343249,6.669306248363146e-05
0.05,1.3779825685225314e-05,2.4305916796622138e-05,0.005511929565135567,-8.16233511760045e-06,6.407174873382958,6.734419517367414e-05
0.05,1.3914359842675393e-05,2.4543218494884642e-05,0.005565743212885394,-8.241431477394447e-06,6.407174873332451,6.800168495340572e-05
0.05,1.4050207473890252e-05,2.4782836999234107e-05,0.005620082249746701,-8.3212825138062e-06,6.407174873280957,6.866559388788568e-05
0.05,1.4187381402478139e-05,2.50247949289374e-05,0.0056749518051516686,-8.401895075922073e-06,6.407174873228452,6.933598464812263e-05
0.05,1.4325894577245786e-05,2.5269115124096106e-05,0.005730357058611549,-8.483276064358534e-06,6.407174873174913,7.001292051698999e-05
0.05,1.446576007342074e-05,2.5515820647802574e-05,0.005786303240205583,-8.565432431311601e-06,6.407174873120327,7.069646539519978e-05
0.05,1.4606991093885628e-05,2.5764934788316997e-05,0.005842795631074703,-8.648371180593776e-06,6.407174873064668,7.138668380733463e-05
0.05,1.4749600970424436e-05,2.6016481061265716e-05,0.005899839563920037,-8.732099367657845e-06,6.4071748730079205,7.208364090793865e-05
0.05,1.4893603164981114e-05,2.6270483211861204e-05,0.0059574404235063225,-8.81662409960631e-06,6.407174872950056,7.278740248766816e-05
0.05,1.5039011270930154e-05,2.652696521714327e-05,0.006015603647170157,-8.90195253518654e-06,6.407174872891058,7.349803497950163e-05
0.05,1.5185839014359896e-05,2.678595128824258e-05,0.006074334725333276,-8.9880918847708e-06,6.407174872830901,7.421560546501094e-05
0.05,1.533410025536819e-05,2.7047465872666115e-05,0.006133639202020832,-9.075049410320565e-06,6.407174872769567,7.494018168069383e-05
0.05,1.5483808989370743e-05,2.7311533656604885e-05,0.006193522675384709,-9.162832425334568e-06,6.407174872707025,7.567183202436787e-05
0.05,1.563497934842227e-05,2.757817956726431e-05,0.0062539907982319815,-9.251448294780258e-06,6.407174872643261,7.641062556162715e-05
0.05,1.578762560255045e-05,2.7847428775217103e-05,0.006315049278558461,-9.340904435006535e-06,6.407174872578242,7.71566320323614e-05
0.05,1.594176216110313e-05,2.8119306696779653e-05,0.006376703880087596,-9.431208313640304e-06,6.407174872511949,7.79099218573403e-05
0.05,1.6097403574108307e-05,2.8393838996410795e-05,0.006438960422814434,-9.522367449462028e-06,6.4071748724443545,7.86705661448596e-05
0.05,1.6254564533647772e-05,2.8671051589134776e-05,0.006501824783555065,-9.614389412262922e-06,6.407174872375435,7.943863669745457e-05
0.05,1.641325987524392e-05,2.895097064298741e-05,0.006565302896501331,-9.707281822681288e-06,6.407174872305163,8.021420601867734e-05
0.05,1.657350457926022e-05,2.9233622581486354e-05,0.006629400753781017,-9.801052352018113e-06,6.407174872233515,8.099734731994154e-05
0.05,1.6735313772315288e-05,2.9519034086125344e-05,0.0066941244060234415,-9.89570872203009e-06,6.407174872160457,8.178813452743277e-05
0.05,1.6898702728710773e-05,2.980723209889279e-05,0.006759479962930603,-9.991258704700396e-06,6.407174872085966,8.258664228908699e-05
0.05,1.706368687187334e-05,3.0098243824815304e-05,0.006825473593853977,-1.0087710121986582e-05,6.407174872010016,8.339294598163797e-05
0.05,1.7230281775810393e-05,3.0392096734525375e-05,0.0068921115283767575,-1.0185070845542303e-05,6.407174871932575,8.420712171773126e-05
0.05,1.7398503166580347e-05,3.068881856685476e-05,0.006959400056901973,-1.0283348796415468e-05,6.407174871853615,8.502924635310988e-05
0.05,1.7568366923777076e-05,3.098843733145288e-05,0.0070273455312462344,-1.0382551944719352e-05,6.4071748717731065,8.5859397493869e-05
0.05,1.7739889082028933e-05,3.1290981311430884e-05,0.007095954365239339,-1.0482688309276902e-05,6.407174871691015,8.669765350378189e-05
0.05,1.7913085832512324e-05,3.159647906603143e-05,0.007165233035329668,-1.0583765957236632e-05,6.407174871607317,8.754409351169698e-05
0.05,1.8087973524480148e-05,3.1904959433324656e-05,0.007235188081195556,-1.0685793003659682e-05,6.407174871521975,8.839879741900754e-05
0.05,1.8264568666805055e-05,3.2216451532930286e-05,0.007305826106362569,-1.0788777611076522e-05,6.407174871434961,8.926184590719403e-05
0.05,1.844288792953799e-05,3.2530984768766724e-05,0.007377153778826897,-1.0892727989012819e-05,6.4071748713462355,9.013332044544065e-05
0.05,1.862294814548157e-05,3.28485888318263e-05,0.0074491778316847,-1.099765239348249e-05,6.407174871255774,9.101330329832495e-05
0.05,1.8804766311779218e-05,3.31692937029783e-05,0.007521905063767725,-1.1103559126447697e-05,6.4071748711635355,9.1901877533584e-05
0.05,1.8988359591519567e-05,3.349312965579891e-05,0.007595342340285047,-1.1210456535244228e-05,6.407174871069487,9.279912702995539e-05
0.05,1.9173745315356643e-05,3.3820127259429074e-05,0.007669496593471137,-1.131835301197087e-05,6.407174870973594,9.370513648509552e-05
